Tweet,Sentiment,Subject
"A better fit than Damian lillard, make it HAPPEN",1,0
Dame + Giannis is going to be INSANE to watch. Excited to see you have a legit shot to compete for a title.,2,0
"(Not accusing you of saying Dame trade to MIA was a matter of ""when"")",1,0
Lillard & Giannis = ,1,0
"Let’s gooooo way better than to the heat, honorary bucks fan this season",2,0
Damian Lillard traded to Bucks https://12ozsports.com/damian-lillard-traded-bucks/… #NBA #Milwaukeebucks,1,0
"The Bucks are now the favorite to win the NBA title, per 
@BetMGM
.",2,0
"Rest of the NBA: How in the Hell did the Milwaukee Bucks manage to trade for Damian Lillard a Snickers and a bag of chips Investigate them for Tampering!!

 Jon Horst:",2,0
"My favorite moments of Damian Lillard’s 11 amazing years in Portland, thank you Dame for everything you did for the city of Portland  and for the fans 
@Dame_Lillard",1,0
"""Damian Lillard's: Game-Changing Trade: Milwaukee Bucks: NBA Trades:""** ... https://youtu.be/r1CI80dPlIs?si=NPgPcjWzg8jONDq-… via 
@YouTube",1,0
They def do ,1,0
"How do you #Lillard trade the biggest name in the #NBA with two other teams and come out last in the trade  asking for a friend….   
@Dame_Lillard
 @NBA
 @trailblazers
 @Bucks",0,0
Getting a Damian Lillard tattoo on my butthole. The letter O  anyone who doesn’t is a casual,1,0
The fire takes give it away don’t they? Unfortunately Ti bears the burden of being my youngest cuz. Been a privilege to watch/listen to him ascend the ranks of Bucks/NBA talk over the years.,1,0
"Now if you are the Milwaukee Bucks, let’s face it, you traded the best defensive point guard in the ligg for perhaps the weakest defensive point guard in the ligg, never mind the fact that Lillard doesn’t exactly win any perfect attendance awards.",0,1
This is gonna destroy all the Dame x Giannis hype,0,0
Dame X Giannis> Curry X Durant,2,0
"We discussed the massive dame trade that took place today, come give it a listen!!!",1,0
The NEW LOOK Milwaukee Bucks ,1,0
"So sad  for me as a 
@trailblazers
 fan, but so excited  for me as a 
@Dame_Lillard
 and 
@Giannis_An34
 fan! Much love  and respect  to you DAME! Go get that ring! I’ll be rooting for you always! 
#RipCity #FearTheDeer 
#DameTime",2,0
Dame requested a trade & then wrote a Hit Em Up type song for the Blazers when they finally traded him #ThisLeague,1,0
"Are the Bucks headed to the Finals with Giannis and Dame? 
@YourManDevine
 & 
@VinceGoodwill
 discuss 

https://youtu.be/0VV1VLE4UhwAPPLE…
https://apple.co/3PUxqjT
https://spoti.fi/3EWPzag",1,0
"The Milwaukee Bucks are a two headed dragon...

The Boston Celtics are Hydra.",0,0
">picked up Achane off waivers this morning
>found out I got first pick in nba fantasy
>DAME TO MILWAUKEE
I USED TO PRAY FOR TIMES LIKE THESE",2,0
kd and book ofc,1,0
Giannis and Dame on the Bucks makes the offense better ,2,2
"The Milwaukee Bucks are championship contenders, folks. And with Giannis Antetokounmpo and Damian Lillard together, that's going to be true for YEARS. 

This is exciting. REALLY exciting. 

The Bucks, man. Whew.",2,0
Lillard when Giannis dunks the ball 40 times and has 85 points while lillard sits in the corner all game,0,2
".
@JoyTaylorTalks
 gives her reaction to Damian Lillard being traded to the Bucks.",1,0
i will stop them,1,0
"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",1,0
That first Dame to Giannis LOB gonna hit like crack in the 80s,2,2
Me mainlining “emergency pods” on this Dame-to-the-Bucks trade.,1,0
"BREAKING: Los Angeles Lakers are trading 
@kabhhz
 to the Milwaukee Bucks, sources tell ESPN.",1,0
"WOW!!!

This is such a great situation for Dame. It might even convince Giannis to stay even longer with the Bucks.

Miami and others would've had to gut their teams to get Dame and he'd have been worse off.

Now he goes to a title contender with a massive superstar.",2,0
"""I think of Kevin Garnett mostly as a Celtic. This would be the crowning achievement if Dame won a championship [with the Bucks]."" — 
@kevinwildes",2,0
As a knicks fan i would of threw up if Dame went to Miami thanks nba gods,1,0
I don’t think the Bucks won the Damian Lillard trade.,0,0
These both relatively healthy players,1,0
"The Milwaukee Bucks have made unquestionably the biggest trade in franchise history since Oscar Robertson today in acquiring 7x All Star PG Damian Lillard

In just under a month, he’ll suit up 
@FiservForum
 season & home opener vs Sixers

#FearTheDeer",1,0
