Username,Time,Tweet,Retweets,Likes
Ian Jaeger,2023-09-27T23:24:59.000Z,"BREAKING: 18 House Republicans just voted against Chip Roy’s amendment to defund drag shows at the Department of Defense: 

1. Ken Buck (CO)
2. Calvert (CA) 
3.Chavez- DeRemer (OR) 
4. Curtis (UT) 
5.D’Esposito (NY) 
6. Duarte (CA)
7. Fitzpatrick (PA) 
8. Garbarino (NY) 
9.…",2.5K,3.6K
Ben Zeisloft,2023-09-27T23:29:39.000Z,"BREAKING: Eighteen House Republicans voted against an amendment from 
@RepChipRoy
 that would have defunded drag shows and pride month events at the Defense Department:
 — Buck 
 — Calvert
 — Chavez-DeRemer
 — Curtis
 — D'Esposito
 — Duarte
 — Fitzpatrick
 — Garbarino 
 — Gonzales,…",1.3K,1.3K
TatumsWrld (formerly Smartswrld),2023-09-27T20:01:22.000Z,Tatum Brown and Porzingis looking at the bucks defense in 2023,5,41
Giannis Lamar,2023-09-27T22:03:26.000Z,"“bUcKs bAcKcOuRt hAs nO dEfEnSe nOw”

Andre Jackson Jr:",4,27
𝓖𝓪𝓫𝓮,2023-09-27T18:43:40.000Z,Bucks perimeter defense without Jrue Holiday next season,5,19
owen,2023-09-27T23:26:55.000Z,"bucks rookie head coach
0 perimeter defense
0 depth

miami old

embiid/spida trade request by december

our conference again big bro 
@jaytatum0",71,957
Boston Sports Enjoyer,2023-09-27T19:00:35.000Z,"The 76’ers have no skilled players

The Bucks have a bottom 5 defense

The Heat are old as fuck and got worse this offseason

The Celtics have a once in a lifetime big 3

THE EAST RUNS THROUGH BOSTON",22,314
Erika,2023-09-27T19:57:34.000Z,Bucks automatically champions to y’all Lmfaoo did you forget about defense?,2,26
𝓖𝓪𝓫𝓮,2023-09-27T18:57:49.000Z,Bucks defense is getting carried by him? Naw they getting cooked ,0,4
Ricky G,2023-09-27T20:42:00.000Z,Bucks have rim protection yes but they got no POA defense,15,127
D€€Z¥ ⓧ,2023-09-27T20:25:09.000Z,"The cope I'm seeing from other fanbases talking bout ""their defense is worse"" or ""they didn't get better"" jus tells me r3t4rds can't be objective and will always use biases. The same fans that wanted Dame mind you. Bucks just added a top 75 player ever let's be serious for once",16,140
Jake Reetz,2023-09-27T21:46:55.000Z,"For those worried about the Bucks defense falling off a cliff by trading Jrue’s point of attack defense for Dame, Cleveland had a top 5 defense last year with a Garland/Mitchell backcourt and the same defensive blueprint",8,311
GET #30 HELP,2023-09-27T22:27:12.000Z,"The Warriors present the biggest threat to the Milwaukee Bucks due to their lack of perimeter defense. Unlike other teams, like the Lakers, we do not rely on Biggs for our offense.",5,27
owen,2023-09-27T18:36:51.000Z,the bucks had no one who could stop the jays and their big offseason addition was bringing in a guard who also can’t play defense,5,65
Corey B,2023-09-27T18:26:40.000Z,"1. I’m so happy this shit is over

2. Bucks pairing Giannis and Dame is going to be a scary AF offense

3. Bucks took a huge hit on defense

4. Giannis has a legitimate closer now (which is huge for him especially mentally)

5. It’s going to be a fun fucking season",30,209
Grayson Allen Enjoyer,2023-09-27T21:26:55.000Z,Keep seeing people talking about how bad the Bucks perimeter defense is gonna be now. Remember when Jimmy did this to Jrue?,0,7
,2023-09-27T19:22:57.000Z,Bucks defense will be fine bruh did people forget watching Giannis carry a team on both ends in the Finals lmao,0,4
"Richard Staple, BSN, RN",2023-09-27T18:24:14.000Z,"Bucks’ backcourt defense took a hit….

But Lillard/Middelton/Pat/Giannis/Lopez is……uh……kinda nice.

Just a lil.",13,173
King DV,2023-09-27T18:22:59.000Z,The Bucks lost perimeter defense in Jrue. This was dumb,0,8
Coach Kam,2023-09-27T18:42:35.000Z,Bucks lose some defense but sheesh the firepower lol,0,16
The Casual Wager,2023-09-27T18:31:13.000Z,Can’t wait to hear “the Milwaukee Bucks defense is really struggling” in December,5,707
Richard,2023-09-27T19:06:37.000Z,Bucks Defense,0,0
ㅤ,2023-09-27T20:43:10.000Z,The Bucks gonna score the ball but that defense on the wing is gonna be nasty ,2,20
legenGarry™,2023-09-27T18:39:14.000Z,Bucks perimeter defense was barely holding up now any guard/wing eating against them,2,1
based pablo prigioni aka priggi smalls,2023-09-27T19:06:43.000Z,That new bucks defense is STINKYYYYYYYYYYYYY,0,3
r3alcheezy,2023-09-27T20:23:38.000Z,The bucks defense just took a huge hit losing jrue,0,2
,2023-09-27T18:43:51.000Z,I know you’ll thinking but the bucks defense just dropped,0,1
Tomek Kordylewski,2023-09-27T18:30:24.000Z,"I do not like the fact that the Celtics will see Dame more now than before, but the Bucks still don't have anyone to guard the Jays, and Jrue felt like their actual x-factor. 

Lillard is gonna make them more dangerous offensively, but their defense is going to take a hit.",29,588
Alex,2023-09-27T18:50:08.000Z,"Bucks basically said less defense and more offense in this deal which I in this case is a good gamble considering the defense they still have. Blazers got good assets too for a rebuild, but the idk what the Suns are cooking ",3,12
Bleav In 76ers,2023-09-27T18:28:03.000Z,Wellll bucks defense got significantly worse today ,0,1
Josh Otter,2023-09-27T20:00:38.000Z,Allen gone just like bucks wing defense ,0,13
Esfandiar Baraheni,2023-09-27T18:43:07.000Z,"So Bucks rotation is: 

Brook 
Giannis 
Khris 
Connaughton 
Dame 

Bobby 
Crowder 
Beasley 
Beauchamp 

They’re a little thin and the perimeter ",48,122
Trevor William Marks,2023-09-27T18:38:58.000Z,"I find it *interesting* that Boston decided to move on from Marcus Smart & Grant Williams -- two players who were vital to beating the Bucks (and establishing an identity on defense) -- to embrace more drop coverage ... only for the Bucks to go add Dame.

What could go wrong?",9,32
Junkey ♛,2023-09-27T19:20:00.000Z,Bucks defense just got a hell of a lot worse,0,1
Sweep The Leg,2023-09-27T21:40:16.000Z,Heat scored 120 ppg vs the bucks in the playoffs without Herro and the bucks just got a whole lot worse on defense.,9,37
Golden.Cedi,2023-09-27T18:57:13.000Z,"Damn, I'm mad that the #bucks lose Jrue.  That's a massive hit to Bucks defense.  But I like Dame on the Bucks.  Great team with Middleton and Giannis.",0,0
li ☤,2023-09-27T23:03:56.000Z,"Damn, that Bucks defense gonna be different this season",0,1
reuben,2023-09-27T18:18:27.000Z,The bucks upgraded but their defense is still cooked. Thank God Miami didn’t get him,1,4
Robert,2023-09-27T20:17:39.000Z,The Bucks perimeter defense is going to be swiss cheese man.,0,2
C,2023-09-27T19:11:56.000Z,Bucks defense gunna be terrible,0,1
RIP Monty,2023-09-27T19:02:42.000Z,Actually underrated the bucks defense might be really bad now? Will be interesting to watch,0,1
Daymon,2023-09-27T18:25:10.000Z,Bucks defense took a hit but the offense is going to be ,0,0
Chan D. Ler: The Last Mugiwara,2023-09-27T19:54:57.000Z,Losing jrue is a crushing blow to the Bucks defense,0,2
Jim Park,2023-09-27T18:21:46.000Z,Did the Bucks get better by swapping Holiday for Lillard? Tough one. The offense obviously improves vastly but defense falls off the map at PG.,14,129
Jason,2023-09-27T18:24:14.000Z,"Initial thoughts: 

1. Awesome haul for the Blazers!

2. Bucks losing Jrue’s defense is a huge gamble, but it makes sense

3. Lillard/Giannis is going to be so fun to watch

4. Dont love this for the Suns but I get it from a Cap and chemistry perspective. They are insanely deep",0,11
Tariq Turner,2023-09-27T22:11:20.000Z,Bucks’ defense took a major blow.,0,1
Nenad Stefanović,2023-09-27T19:52:56.000Z,"Milwaukee Bucks switched defense for offense! 

Interesting  ...",0,2
Adrian V ✭,2023-09-27T18:33:39.000Z,Bucks just lost there best defender in Jrue Holiday. Damian Lillard a great player but doesn’t bring that defensive presence like Holiday. I see the Bucks defense downgraded a little bit,0,1
Ejiro,2023-09-27T18:58:19.000Z,I’m not sure about the basketball fit between Dame and Giannis. And also I wonder how much losing Holiday affects the Bucks defense. It’s kind of a weird trade for the Blazers and a solid move for the Suns.,0,0
Brandon Kinnard,2023-09-27T19:18:47.000Z,"Alright, I gotta give my thoughts on this quick:

1) The Blazers are my west coast team and Dame is awesome, so I'm pumped.
2) This is the modern NBA. You've constantly gotta work to improve and appease your superstar.
3) I'm concerned about the Bucks defense.
4) Gonna miss Jrue.",0,6
