Username,Time,Tweet,Retweets,Likes
Crumbletakes,2023-09-27T19:01:47.000Z,"Jrue Holiday as a Buck 
NBA Champion 
All Defense (3x)
All-Star
Knocked away Stolen my holiday  

Thank you for everything Jure",0,0
,2023-09-27T19:20:00.000Z,Happy for the bucks and nba but defense is a thing ,0,1
Mark Michalski,2023-09-27T20:02:39.000Z,Damian Lillard a Milwaukee Buck.  I will miss Holiday's defense though.  He did wonderful things for the Milwaukee community and played a huge part in the Milwaukee Bucks winning the NBA Championship!  #FearTheDeer,0,1
delly,2023-09-27T21:20:58.000Z,#nba The Bucks just traded defense for offense..they wanna try & score with the Nuggets & have somebody more reliable to have the ball in his hands than Bagless&Holiday..well you got that now.. good luck trying out score the Nuggets,0,0
Fastball,2023-09-27T19:02:59.000Z,"Damian Lillard to the bucks, an offensive powerhouse. Do you think they will miss Jrues defense and bind with this team more than they know? 
#nba #DamianLillard",0,0
Unimpeachable Listmaker,2023-09-27T19:46:22.000Z,"This app man…

Damian Lillard just had one of the best offensive seasons a guard has ever had in NBA history.  The perimeter defensive stuff isn’t that big a deal because their back line defense is so elite.

The Bucks have to be the favorite to win the NBA title now.",0,11
𝐉𝐚𝐜𝐨𝐛 𝐂𝐨𝐥𝐥𝐢𝐞𝐫,2023-09-27T18:35:17.000Z,"Dang, the Bucks are scary offensively but defense should take a hit!!!! #NBA https://twitter.com/BleacherReport/status/1707097530125758870…",0,0
Andrew,2023-09-27T18:43:39.000Z,Bucks already had thin perimeter defense now it’s gonna be BBQ chicken for the Jays bring on the NBA season ,0,3
Cooper Hird,2023-09-27T23:11:01.000Z,"The fact that some NBA nerds reaction to the Bucks pairing frickin Dame and Giannis is to nitpick the defense and question how valuable Dame is over Jrue frickin Holiday

Y’all this is potentially tail end of his prime Dame Lilliard with prime Giannis Antetokounmpo, bask in that",0,3
Jeremiah Martin,2023-09-27T18:54:28.000Z,"Picture this..

Dame offense, Jrue defense/offense at the 2,

Then you have Giannis plus the bench they have, bucks will be a issue especially on defense this season. 

#NBA #ESPN",0,0
Petros Sebhatu,2023-09-27T19:33:00.000Z,"Exactly. So much gravity at the rim & perimeter.

I see everybody with the perimeter D concerns & I understand it - but the Cavs had the best defense last yr w/ two small guys in the backcourt.

Because all that matters in the NBA is helpside/rim protection. Which the Bucks have.",1,1
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
dfuzecr,2023-09-27T18:30:13.000Z,"Overall 

Bucks defense got a lot worse and their offense might the the best in the nba",0,0
RealWrestling,2023-09-27T20:49:04.000Z,No defense,0,0
JD Sportsnation #DEPRESSEDBRONCOSFAN,2023-09-27T19:31:37.000Z,"My thoughts on Dame trade

-Definitely a layup to ECF and on paper definitely the team to beat in entire NBA

-Bucks still needs perimeter depth for defense 

-Heat will most likely make up for Dame Miss with Jrue

-Suns got some depth somewhat,but going from Ayton to Nurkic is",0,1
Zach,2023-09-27T18:42:07.000Z,"If you think the Bucks are winning the NBA finals, consider yourself a moron. No bench depth, no defense, and super teams never succeed. #NBA",0,0
NWOT-LIM.. (15-7),2023-09-27T06:46:56.000Z,"Gotta admit not sure how Bucks stole that  w/ a dumb coach and playing in a head scratching and  predictable offense and defense. Heck if I still played I'd own Mike Buds Bucks too.. Lefraud no game 
@55
 was running the same play that Bud guy had zero clue how to stop..",0,0
Carrington Gupte,2023-09-27T18:30:27.000Z,"THE ULTRA COMPETITIVE 
@NBA
 EASTERN CONFERENCE IS BACK!

Plus:
SUPER SUNS
DYNAMIC DUO BUCKS
DEEP CELTICS
HEALTHY KAWHI/PG
RELOADED LAKERS
NUGGETS TITLE DEFENSE
WEMBY
PAOLO SZN 2
KNICKS GOOD AGAIN!? ",0,0
Charles,2023-09-27T19:01:07.000Z,Dame plays no defense learn the nba game ,0,0
Josh,2023-09-27T20:38:48.000Z,"Suns lose size and defense, Bucks lose depth and defense (but hey kept the brothers together!), Portland wins all around. Lakers, make the call for Jrue. #NBA",0,1
Xavier Zamarron,2023-09-27T21:39:38.000Z,"Milwaukee’s biggest weakness lied in their half-court offense which #Dame will help with A LOT, but their team’s identity was defense first. There’ll definitely be some growing pains but they are better than they were yesterday  #Bucks #Blazers #NBA",0,0
praneel,2023-09-27T19:15:06.000Z,"first thoughts: 
bucks win by far, dame is an insane offensive player and gives them one of the most impossible to guard duos in NBA history. Losing jrue will hurt to an extent, but their backline defense is incredible so they can survive without jrue’s point of attack juice.",0,15
A-Dub,2023-09-27T19:55:30.000Z,"I am not sold on the Bucks! They got to make another move or 2…They get Dame, and lost a lot on defense. People forget about the Celtics and their off season moves. Right now, Celtics still the favorite to come out the East. #nba #Celtics #bucks #espn",0,1
𝙯𝙖𝙮,2023-09-27T18:31:32.000Z,bucks got worse ngl. no defense,0,0
Los,2023-09-27T20:06:32.000Z,"I know we wanna say the bucks defense will be ass, but their rim protection is still top 5 in the NBA",1,0
Creative_Name,2023-09-27T20:03:21.000Z,"Oh no Bucks are going to be a great defense, probably top 3. Suns however are the subpar one, which is what I meant.",0,0
Brandon Kinnard,2023-09-27T19:18:47.000Z,"Alright, I gotta give my thoughts on this quick:

1) The Blazers are my west coast team and Dame is awesome, so I'm pumped.
2) This is the modern NBA. You've constantly gotta work to improve and appease your superstar.
3) I'm concerned about the Bucks defense.
4) Gonna miss Jrue.",0,6
