Username,Time,Tweet,Retweets,Likes
Daily Sports,2023-09-27T20:27:10.000Z,Will the MIL Bucks win the 2024 NBA Finals? ,13,15
,2023-09-27T22:13:17.000Z,Damian Lillard on the Bucks to the whole NBA,22,258
JUJU PUNTER. Legitcalculator,2023-09-27T21:16:21.000Z,Fear Milwaukee bucks this new NBA season.,208,606
Hassan Ahmad,2023-09-27T20:16:29.000Z,".
@Dame_Lillard
 is headed to the 
@Bucks
 

#smsports #NBA #NBATwitter #FearTheDeer",5,52
Poetik Flakko,2023-09-27T19:32:01.000Z,"Jimmy Butler Said This After Hearing Damian Lillard Went To The Bucks: “Yo NBA Man, Y’all Need To Look Into The Bucks For Tempering.”",0,7
2 Beers Podcast,2023-09-27T19:44:08.000Z,"Well, tonight pod just took a turn 
@Dame_Lillard
 @Bucks
 @trailblazers
 
#NBA #dametime",1,1
FAIQ,2023-09-27T19:31:23.000Z,NBA teams reacting to bucks trade for Damian Lillard,2,37
Wisconsin Clothing Company,2023-09-27T20:46:39.000Z,RT this tweet if you can't wait for the Milwaukee Bucks to be the 2024 NBA Champions ,7,12
FanDuel Sportsbook,2023-09-27T19:45:55.000Z,"HUGE day in the NBA 

Are the Bucks your pick to win it all?",7,22
Scary Alvarez,2023-09-27T20:08:08.000Z,"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",55,923
Trey,2023-09-27T19:37:40.000Z,Bucks and Lakers in the NBA Finals gonna break viewership records,4,4
Ty,2023-09-27T20:27:45.000Z, DAMIAN LILLARD TRADED TO MILWAUKEE BUCKS #nba #NBATwitter #nbatrade,2,8
NBA Fantasy Bible,2023-09-27T23:31:00.000Z,"For me, this was Jrue Holiday’s most iconic moment for the Bucks.  Massive moment in NBA history.",0,16
NBA ADDICTTV,2023-09-27T22:48:13.000Z,"NEW VIDEO OUT NOW!

DAMIAN LILLARD TO THE BUCKS JUST BROKE THE NBA!!
https://youtu.be/LAAF9Uejxgo",4,4
𝕋𝕒𝕧𝕖𝕣𝕟 𝕎𝕀 𝕊𝕡𝕠𝕣𝕥𝕤,2023-09-27T21:28:05.000Z,"Solid emergency show Winks! 

IT’S DAME TIME!  

#Bucks #NBA #DamianLillard #FearTheDeer",1,4
Shawn Ambrose,2023-09-27T23:15:13.000Z,Are Giannis and Dame the best duo since Shaq and Kobe? #Bucks #NBA,0,0
Analytical Sleeve,2023-09-27T20:20:06.000Z,Never be deterministic in your answers. #bucks #NBA,0,1
Hoops on 𝕏,2023-09-27T21:47:54.000Z,"In a blockbuster trade, the Bucks have acquired superstar point guard Damian Lillard from the Trail Blazers. 

Pairing him with reigning Finals MVP Giannis Antetokounmpo gives Milwaukee one of the most fearsome duos in the NBA.",17,145
Elitepickz,2023-09-27T19:52:04.000Z,"First look 

#Bucks #NBA #DameTime",0,7
real TwT,2023-09-27T20:18:17.000Z,"The Bucks in 20-21 NBA season

Trades for star guard Jrue Holiday after Giannis threatens to leave. 
NBA Champions 

The Bucks in the 23-24 NBA season 

Trades for star guard Damian Lillard after Giannis threatens to leave. 
????",0,2
Lakers Illuminati dynasty 2.0,2023-09-27T20:36:03.000Z,Bucks vs Lakers nba finals 2024 should be a great one calling it now,0,8
Scott Grodsky,2023-09-27T21:38:13.000Z,"Bucks legend Jon McGlocklin says the Damian Lillard trade is very similar to when they added Oscar Robertson to pair with 
@kaj33
 and immediately won the NBA title. 

He says that Bucks team knew right when they made the trade ""we're it.""",113,798
Bally Sports Wisconsin,2023-09-27T20:18:42.000Z,"How we feeling #Bucks fans? 

#NBA || #FearTheDeer",8,97
AEW Superfan,2023-09-27T21:42:35.000Z,"Wow, Damian Lillard got traded to the Milwaukee Bucks. I’m just now seeing this.  

Oh well, hopefully the Knicks can get Joel Embiid! 

#Knicks #Bucks #NBA",2,12
Dre,2023-09-27T21:33:22.000Z,Portland just got an upgrade of their roster. Interesting that the Bucks NBA finals odds just leaped up too #DamianLillard #SucioSportz,0,0
Lord Pretty Franko,2023-09-27T20:31:19.000Z,"BUCKS 2023-2024 NBA CHAMPIONS, BET THE HOUSE",0,7
Theo Ash,2023-09-27T20:06:39.000Z,Jimmy Butler telling the NBA the Bucks tampered mere seconds after learning he’s getting Dame,2,287
Radames,2023-09-27T20:13:49.000Z,I’m trying to find my words on this Dame situation and outcome #HEATCulture #Bucks #NBA,0,2
Brewers Offseason Mode,2023-09-27T20:09:31.000Z,"New shirt in the shop. Get it as a sticker, mug or long sleeves too! Link in comments.
#bucks #dame #nba #DamianLillard #giannis #dametime #Milwaukee",1,9
NoSmokeSport,2023-09-27T20:11:54.000Z," #NBA star Jimmy Butler calls out the Milwaukee Bucks for tampering following Damien Lillard trade and says the NBA needs to look into it 

Tyler Herro, fellow NBA star, came out and agreed with Butler  #MilwaukeeBucks #Bucks",2,5
MackTightRadio,2023-09-27T20:21:06.000Z,#PortlandTrailBlazers’ #DamianLillard is getting traded to the #MilwaukeeBucks reported by #WOJ  #NBA #Bucks #TrailBlazers - #MackTightRadio  #Ready2LearnShow  [Watch #MackTightTV On #RokuTV On Channel #MackTight  LISTEN TO Mack Tight Radio on http://macktightentertainment.com]…,4,4
Doc,2023-09-27T20:37:20.000Z,"Hey so...given that Toronto and Miami had better packages and Jimmy AND Herro are telling the NBA to investigate the Bucks...what type of back door deal might've been struck?

Are Wes Edens and Jamie Dinan making financial promises they're not allowed to make to Jody Allen?",3,14
Jake Weinbach,2023-09-27T20:24:34.000Z,"Jrue Holiday’s three-year tenure with the Bucks:

NBA Champion
3x All-Defensive
2x Teammate of the Year
All-Star
18.5 PPG
6.8 AST
1.5 STL
49.4% FG
39.5% 3PT
“knocked away and stolen by Holiday”

Thank you for everything, ",86,732
Topher Léon,2023-09-27T20:50:01.000Z,damian lillard to the bucks  #NBA #dame,0,4
Albert Rocker,2023-09-27T20:46:38.000Z,Oh it’s #DameTime for sure now… I’m glad that he got out of Portland happy. Lakers vs Bucks NBA Finals 2024… https://twitter.com/BleacherReport/status/1707097530125758870…,0,1
willie mnatzakanian,2023-09-27T19:12:41.000Z,Will Lillard make any difference in Bucks NBA hopes?,0,0
O,2023-09-27T21:25:06.000Z,I am calling it. Suns vs Bucks Nba finals. 2024  Yes that’s it .,0,1
,2023-09-27T19:06:49.000Z,Warriors/Bucks NBA Finals. We will be there,1,0
SportsRadioAmerica,2023-09-27T23:00:35.000Z,"https://sportsradioamerica.com/2023/09/27/its-dame-time-in-milwaukee/…
@SkPatrick90
 breakdown the blockbuster trade of Damian Lillard to the Bucks. 

#Nba",2,2
Jingles,2023-09-27T22:31:57.000Z,"Out of literally every other team in the NBA besides the jazz, the bucks are the team that I wanted Damian Lillard to get traded to the most

I really hope they win it all this year. And I really hope dame was just bluffing with his whole “I won’t show up to training camp” thing",0,54
The Moneyline,2023-09-27T22:12:39.000Z,"DAME LILLARD TRADED TO THE MILWAUKEE BUCKS! | BUCKS (+375) TO WIN IT ALL!?! The BEST BETS Podcast

#damelillard #bucks #nba #bestbets #giannisantetokounmpo #dame #GamblingX #damianlillard #NBATwitter #trending 

https://youtu.be/_WWAeki4--4?si=Z-o5z_rKZ0t0dBYx…",0,0
Daniel Okin,2023-09-27T20:47:59.000Z,Sometimes the NBA really has a habit of painting itself ,0,21
Bape Bruce,2023-09-27T20:32:18.000Z,Bucks NBA champions already.,0,0
Carson Orvis,2023-09-27T21:45:03.000Z,"Somehow Khris Middleton suddenly improved in the eyes of the public when the Dame trade happened. It was pretty clear he was on a decline, but suddenly he’s great again? Ok. #Bucks #NBA",0,1
the real RMJ=H,2023-09-27T23:17:10.000Z,"Congratulations to the Bucks, NBA Jam champions (I think)",0,3
"Kyle, Brust, and Nortman",2023-09-27T21:15:00.000Z,"""I love when the #Bucks make a splash in the #NBA, I text someone ""I Love This TEAM!"" - 
@ZoraStephenson
 

Tune In: http://youtube.com/watch?v=eW4MLJlcDkg…… 
@ESPNMilwaukee
 @ESPNMadison
 @espnbd",1,11
Kyle,2023-09-27T23:10:10.000Z,Absolutely hilarious to me the folks trying to minimize & downplay Dame joining Giannis. Out y’all got damn minds lol #Bucks #NBA #DamianLillard,0,0
Ball Don’t Lie,2023-09-27T23:12:19.000Z,"The Bucks are now the favorite to win the NBA title, per 
@BetMGM
.",6,18
