Username,Time,Tweet,Retweets,Likes
Corey B,2023-09-27T18:26:40.000Z,"1. I’m so happy this shit is over

2. Bucks pairing Giannis and Dame is going to be a scary AF offense

3. Bucks took a huge hit on defense

4. Giannis has a legitimate closer now (which is huge for him especially mentally)

5. It’s going to be a fun fucking season",30,209
desperate pacers fan,2023-09-27T19:21:51.000Z,Thinking about the bucks offense,0,1
GET #30 HELP,2023-09-27T22:27:12.000Z,"The Warriors present the biggest threat to the Milwaukee Bucks due to their lack of perimeter defense. Unlike other teams, like the Lakers, we do not rely on Biggs for our offense.",5,27
Zona,2023-09-27T18:58:41.000Z,"If Phoenix does end up meeting Milwaukee in a 2021 rematch... 

I for one, am thrilled that Jrue Holiday will not be wearing a Bucks uniform. 

As terrifying as the Dame-Giannis duo is, Phoenix's offense can keep up.",22,513
stylish but illegal monkey,2023-09-27T19:56:37.000Z,"The Bucks have never lacked offense, and that's all Dame brings.

Giannis, Middleton and Jrue could give you 40 on any given night. Brook one of the best shooting bigs.

Losing their best perimeter defender for extra offense doesn't seem too smart to me.",1,0
Keenan C,2023-09-27T18:34:59.000Z,Bucks offense probably finna be crazy cause they defense finna take a nasty fall off,0,0
Curry Flurry,2023-09-27T23:45:56.000Z,Giannis and Dame on the Bucks makes the offense better ,0,4
Ben Alterman,2023-09-27T18:36:15.000Z,Considering how bad the Bucks offense was last year this is insane,0,1
Justin W.,2023-09-27T21:16:37.000Z,"Damian Lillard to help the Bucks crunch time half court offense is soooo much better than anything anyone could have materially hoped for for Milwaukee. 

The difference between Jrue and Damian Lillard offensively is Grand Canyon sized and that's being kind.",3,47
D. Leg,2023-09-27T18:29:02.000Z,Thats weak… Bucks gave up Offense & Defense for just some extra Offense,0,1
JB,2023-09-27T19:07:33.000Z,Dame playing in the Bucks offense will be crazy,0,0
Wavy,2023-09-27T20:56:11.000Z,"Jrue, Kawhi & PG defense is scarier than the Bucks offense… only concern is their health of course",0,2
Spencer Dumwiddie,2023-09-27T18:30:52.000Z,The Suns just got major depth in their lineup and The Bucks offense just became elite,0,0
Jake Issenberg,2023-09-27T20:21:21.000Z,"Hard to argue anything that the Bucks didn’t get better. They fixed their crunch time offense issues. Huge W. But they already couldn’t guard the Jays, and their perimeter defense is going to take a major hit.",2,8
Athiswamy,2023-09-27T19:19:47.000Z,Bucks offense will be a nightmare with giannis and dame but why about their perimeter defence?? Losing holiday created a big hole in bucks perimeter defence! #FearTheDeer,0,0
BucketsB,2023-09-27T18:39:27.000Z,that bucks offense is going to be scoring through the goddamn roof,0,0
Bucks Film Room,2023-09-27T23:25:58.000Z,"Bucks offense will be a strength in the postseason now. Middleton is clear 3rd option instead of 2A. 

Defense will need to answer questions, but there is time and likely some moves before then.",4,70
Bam,2023-09-27T18:48:39.000Z,"Suns added depth and defense 
Bucks added offense and a floor spacer! And the lakers got Gabe Vincent ",0,1
KJ,2023-09-27T18:32:15.000Z,Jrue a great guy forever grateful but this is  Dame Lillard. Stotts and Dame reunion no excuses anymore for Bucks halfcourt offense. Bucks are on a two year window. Speechless. Excited!,0,8
Jim Park,2023-09-27T18:21:46.000Z,Did the Bucks get better by swapping Holiday for Lillard? Tough one. The offense obviously improves vastly but defense falls off the map at PG.,14,128
Pranav ➐,2023-09-27T18:21:26.000Z,Obviously huge for the bucks halfcourt offense in the playoffs,0,1
Shad,2023-09-27T20:10:24.000Z,Jimmy butler gave that Nigga 50 while the bucks offense looked poopoo damn right they should bring in some offense,1,4
GMONE¥,2023-09-27T18:31:32.000Z,"Suns defense worse but man the offense about to be crazy. Teams gone have to keep up
Bucks offense got better but man they problem last year was they can’t stop wings. They have no wings for sure now that can play defense, about to be a lot of cones out there",0,0
Nate Deming,2023-09-27T18:28:07.000Z,"This makes the Bucks offense pretty nice but they lost a major piece on defense in Jrue Holiday. Lillard is nowhere close to the defender that Holiday is. Not sure this will make them more of a contender in the bigger picture. 

Celtics in 7 ",0,0
Anthony Doyle,2023-09-27T18:35:26.000Z,"That Bucks offense is going to be ridiculous this season.

They're going to DESTROY teams.",0,3
Bia Eba,2023-09-27T20:33:45.000Z,I still cant believe we kept middleton. Bucks offense gonna be crazy next season. Used to pray for times like this,0,0
Jackson Elworthy,2023-09-27T19:07:51.000Z,I totally forgot Terry Stotts is also with the Bucks. This offense could be sensational.,0,0
Alex,2023-09-27T18:50:08.000Z,"Bucks basically said less defense and more offense in this deal which I in this case is a good gamble considering the defense they still have. Blazers got good assets too for a rebuild, but the idk what the Suns are cooking ",3,12
Nenad Stefanović,2023-09-27T19:52:56.000Z,"Milwaukee Bucks switched defense for offense! 

Interesting  ...",0,2
Mitchell Maurer,2023-09-27T19:41:16.000Z,"lmao the Bucks now have *Khris Middleton* as their third option on offense.

Khris Middleton!",3,41
Josh Engleman,2023-09-27T18:37:13.000Z,"Shoutout to 
@kmedved
 for just having this out there for everyone. I think there's something to the Bucks trading guard defense for guard offense, but there's a case to be made that Dame and Jrue are equal. Very interesting bet by the Bucks.",7,16
Siddharth,2023-09-27T18:57:10.000Z,"Milwaukee Bucks half court offense got no excuses now. Absolute home-run of a deal for them, to turn Jrue on an expiring into freakin' 4 years of Dame Lillard coming off his career-best season. And they only had to include 1 unprotected 1st & 2 unprotected pick-swaps",0,1
