Username,Time,Tweet,Retweets,Likes
Corey B,2023-09-27T18:26:40.000Z,"1. I’m so happy this shit is over

2. Bucks pairing Giannis and Dame is going to be a scary AF offense

3. Bucks took a huge hit on defense

4. Giannis has a legitimate closer now (which is huge for him especially mentally)

5. It’s going to be a fun fucking season",30,209
JalenGreen⁴ (7-6 & 9-8),2023-09-27T19:29:33.000Z,Suns with Defense,0,8
D€€Z¥ ⓧ,2023-09-27T20:25:09.000Z,"The cope I'm seeing from other fanbases talking bout ""their defense is worse"" or ""they didn't get better"" jus tells me r3t4rds can't be objective and will always use biases. The same fans that wanted Dame mind you. Bucks just added a top 75 player ever let's be serious for once",16,140
Harp,2023-09-27T20:33:36.000Z,"The 2 Man Game | Dame & Giannis

The bucks become so dangerous in the 2 man game. 

With Lillard being such a threat to score out of DHO & BS the defense is going to have to pick & choose.

Giannis passing ability out of short roll  will open up the floor for open shooters",1,26
Brendan,2023-09-27T19:06:15.000Z,"Dame plays no defense but suddenly the Bucks are an unstoppable force, I’m not sure I comprehend",0,2
North Star in the Dark Night Sky,2023-09-27T19:37:14.000Z,"@Dame_Lillard
 why they saying bucks lost defense?",0,0
Nick Rivera,2023-09-27T18:56:58.000Z,Dame can score yes. But no defense at all. Bucks not making it past Celtics without jrue,0,2
Brian Schwarze,2023-09-27T18:29:48.000Z,"Damn man, Bucks got Dame. Defense is going to drop off without Jrue but man this could be fun",0,0
Jake Reetz,2023-09-27T21:46:55.000Z,"For those worried about the Bucks defense falling off a cliff by trading Jrue’s point of attack defense for Dame, Cleveland had a top 5 defense last year with a Garland/Mitchell backcourt and the same defensive blueprint",8,311
³⁴,2023-09-27T21:52:51.000Z,Has a nurkic anchored defense ,0,13
zach,2023-09-27T19:02:29.000Z,first thought that came to mind regarding the Dame trade is why didn’t the bucks push for matisse thybulle to come over with dame? their perimeter defense isn’t looking great at all,1,1
Tomek Kordylewski,2023-09-27T18:30:24.000Z,"I do not like the fact that the Celtics will see Dame more now than before, but the Bucks still don't have anyone to guard the Jays, and Jrue felt like their actual x-factor. 

Lillard is gonna make them more dangerous offensively, but their defense is going to take a hit.",29,589
𝙈𝙖𝙣𝘽𝙚𝙖𝙧𝙋𝙞𝙜,2023-09-27T18:37:21.000Z,Dame’s trash defense just guaranteed that we smoke the Bucks. C’s in 5.,1,6
Trevor William Marks,2023-09-27T18:38:58.000Z,"I find it *interesting* that Boston decided to move on from Marcus Smart & Grant Williams -- two players who were vital to beating the Bucks (and establishing an identity on defense) -- to embrace more drop coverage ... only for the Bucks to go add Dame.

What could go wrong?",9,32
Makaveli,2023-09-27T20:54:11.000Z,"I dnt see the Bucks beating us still, Dame defense not better then Jrue",0,0
Sarah Gaestel,2023-09-27T19:59:38.000Z,"For the Bucks fans that didn't want to give up Jrue to get Dame: I hear you, but I think it's 100% worth it.  We obviously do lose defense at that position, which we relied on in the playoffs and won us games. However, Jrue has consistently struggled to score, especially in the",0,19
Mark,2023-09-27T18:28:26.000Z,Hold up! Bucks got Dame for Jrue...You lose perimeter defense in Jrue but gain more scoring in Dame.,0,0
Snead,2023-09-27T18:21:39.000Z,Dame going to the bucks with a good defense around him and Giannias that’s a GREAT move can’t build a wall around Giannis with another clutch shooter around him,0,0
Golden.Cedi,2023-09-27T18:57:13.000Z,"Damn, I'm mad that the #bucks lose Jrue.  That's a massive hit to Bucks defense.  But I like Dame on the Bucks.  Great team with Middleton and Giannis.",0,0
ℍ𝕦𝕟𝕥𝕖𝕣,2023-09-27T18:35:12.000Z,"not going to overreact to the dame deal, bucks are going to be damn good but still a lot of health questions and their defense took a major hit, we’ll see how it plays out",0,6
Esfandiar Baraheni,2023-09-27T18:43:07.000Z,"So Bucks rotation is: 

Brook 
Giannis 
Khris 
Connaughton 
Dame 

Bobby 
Crowder 
Beasley 
Beauchamp 

They’re a little thin and the perimeter ",48,122
King Je Suis,2023-09-27T21:20:38.000Z,Don’t overthink it. Dame is fantastic on offense. Bucks defense won’t be the same with him and without Jrue though,0,0
Mel,2023-09-27T20:33:43.000Z,Warriors have a Pg who wasn’t a good defender and got switched onto players a lot. They still win. When you can score like Dame defense is less important. Bucks can put players around him to defend like the warriors do Steph,0,2
Omar Arcilla,2023-09-27T22:07:40.000Z,"Alot of adjustments for the bucks to hide dame in defense. 

Hope they prove me wrong",0,0
HeftyMeal,2023-09-27T21:23:04.000Z,Dame is good but cmon man you’re making sound like Dame is LeBron. Bucks offense got better but their defense got worse. We’ll see what they look like on the court before making assumptions like this.,0,0
AmericaCovers,2023-09-27T20:01:57.000Z,"Bucks will be worse. Dame will be a liability on defense and won’t stay healthy….. Jrue had it lock down 

Hot take but you will learn 

#nbatwitter",0,1
Toucansam,2023-09-27T18:19:19.000Z,Am I the only one who thinks the Bucks got worse without Holiday? Yeah Dame can score but the Bucks traded their stalwart defense for a better offense and I don’t think their offense was bad to begin with…,0,0
Lemon Pepper Lou,2023-09-27T18:30:01.000Z,The Heat should have traded for Dame. No way Miami beating Dame & Giannis. Bucks are a scary team. Defense took a hit but Giannis doesn't have to play a whole game anymore,0,1
Cooper Hird,2023-09-27T23:11:01.000Z,"The fact that some NBA nerds reaction to the Bucks pairing frickin Dame and Giannis is to nitpick the defense and question how valuable Dame is over Jrue frickin Holiday

Y’all this is potentially tail end of his prime Dame Lilliard with prime Giannis Antetokounmpo, bask in that",0,3
Eli Skaljac,2023-09-27T18:44:52.000Z,"Love Jrue, best guard defender in the league.. the gap between him and Dame tho is HUGE. Bucks defense will stay elite as long as Giannis/Brook are there. Dame makes their offense elite as well now. Jrue had been awful offensively in the postseason",0,1
HB,2023-09-27T21:35:31.000Z,Anything the bucks lost on defense from trading jrue will be more than made up for by dame’s offense. Hard to see how the bucks aren’t the clear favorites.,0,2
DMack310,2023-09-27T19:21:07.000Z,"Bucks will miss defense cuz Dame a hell of an offensive player, but defense not one of his strongest attributes",0,0
Anthony,2023-09-27T20:09:31.000Z,"Bucks fans: Look where Jrue and Cater are on this graphic.

Then look where Dame and Connaughton are.

That Bucks defense miiiight just fall off a cliff",1,0
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
MinuteMaidJay,2023-09-27T19:42:26.000Z,Dame plays zero defense.. bucks just gave that up..,0,0
Jae Williams,2023-09-27T20:16:29.000Z,Dame to the Bucks is something I didn’t see coming. Trading away the defense of Jrue Holiday might cost em though.,0,2
Trevor Newcomb,2023-09-27T19:38:11.000Z,"Long overdue. Literally! Thanks for the highlights 
@Dame_Lillard
 bucks perimeter defense just took a HUGE hit. Welcome to Portland 
@Jrue_Holiday11
 ",0,1
,2023-09-27T18:35:37.000Z,Don’t be. Celtics in 6. Bucks have no depth. Teams are attacking dame on defense. But Bucks will be good with Dame,0,0
Johnny Sauce,2023-09-27T22:13:09.000Z,"Dame scores so much that it doesn’t matter if his defense isn’t matching it. 

The Bucks only need scoring from him they got the rest covered lmao man what are we doing here",0,4
JD Sportsnation #DEPRESSEDBRONCOSFAN,2023-09-27T19:31:37.000Z,"My thoughts on Dame trade

-Definitely a layup to ECF and on paper definitely the team to beat in entire NBA

-Bucks still needs perimeter depth for defense 

-Heat will most likely make up for Dame Miss with Jrue

-Suns got some depth somewhat,but going from Ayton to Nurkic is",0,1
Ravvenom,2023-09-27T19:56:26.000Z, better add some defense to that.,0,0
Robby Kalland,2023-09-27T18:45:53.000Z,"i get the ""jrue is important"" thing with the bucks i really do, but he also shot like 39% from the field for 3 straight playoffs. dame's a considerable upgrade for what this bucks team needed, even understanding what you lose on defense.",1,18
j,2023-09-27T20:25:55.000Z,but other than that the bucks perimeter defense gonna be bad tho,0,1
Domo,2023-09-27T19:20:30.000Z,Yeah he’s all that and still not dame.. defense ain’t the bucks problem scoring is,0,0
Josh Engleman,2023-09-27T18:37:13.000Z,"Shoutout to 
@kmedved
 for just having this out there for everyone. I think there's something to the Bucks trading guard defense for guard offense, but there's a case to be made that Dame and Jrue are equal. Very interesting bet by the Bucks.",7,16
louisludwig,2023-09-27T19:04:04.000Z,"No.
Love Jrue, one of my favorite players.
Cannot over look how bad his offense has been on the playoffs though. His defense was amazing, yes, but Dame makes the bucks offense nigh unstoppable and they still have a top 10 defense at the VERY worst",0,9
praneel,2023-09-27T19:15:06.000Z,"first thoughts: 
bucks win by far, dame is an insane offensive player and gives them one of the most impossible to guard duos in NBA history. Losing jrue will hurt to an extent, but their backline defense is incredible so they can survive without jrue’s point of attack juice.",0,15
Ian Bruce,2023-09-27T20:28:07.000Z,"If he finally wins, beyond the Second Round, I don’t think he will care what City it’s in 

Miami is beautiful, the Bucks have a Defense, the Bucks have size, they simply needed a Conductor / Dame is still a Top-10 Player, Giannis is a Warlord. If he Wins he will forgive the rest",0,0
John Craft,2023-09-27T19:20:06.000Z,"What makes NBA media and pundits hilarious to me is the assumption that Dame>Jrue.  Defense is 50% of game.  Bucks probably got worse, but made Giannis happy.  They will be more fun to watch .",1,1
darshan,2023-09-27T18:30:35.000Z,"Now here are two top tier athletes I have no problem rooting for to see succeed. Bucks could be lethal. Dame was never much for defense but joins a team that defends well as a whole. Add in Dame's offensive prowess, could be a dangerous combo w/ Giannis inside..",0,1
leeroy,2023-09-27T19:15:26.000Z,The Bucks will miss Holiday’s defense… we all know Dame don’t defend.,0,2
