Username,Time,Tweet,Retweets,Likes
Corey B,2023-09-27T18:26:40.000Z,"1. I’m so happy this shit is over

2. Bucks pairing Giannis and Dame is going to be a scary AF offense

3. Bucks took a huge hit on defense

4. Giannis has a legitimate closer now (which is huge for him especially mentally)

5. It’s going to be a fun fucking season",30,209
Stacey Dash dumb as fuck,2023-09-27T18:25:54.000Z,Dame going to the Bucks is cool. For the offense. That defense is gonna be trash,0,0
Curry Flurry,2023-09-27T23:45:56.000Z,Giannis and Dame on the Bucks makes the offense better ,0,4
KJ,2023-09-27T18:32:15.000Z,Jrue a great guy forever grateful but this is  Dame Lillard. Stotts and Dame reunion no excuses anymore for Bucks halfcourt offense. Bucks are on a two year window. Speechless. Excited!,0,8
NYKnicksPodcast,2023-09-27T19:06:55.000Z,Dame is not the upgrade that Milwaukee thinks he is. Great on offense but D is plain bad. Bucks are going to miss Jrue,1,3
Zona,2023-09-27T18:58:41.000Z,"If Phoenix does end up meeting Milwaukee in a 2021 rematch... 

I for one, am thrilled that Jrue Holiday will not be wearing a Bucks uniform. 

As terrifying as the Dame-Giannis duo is, Phoenix's offense can keep up.",22,513
ኤርሚያስ,2023-09-27T19:19:18.000Z,Dame solves the bucks biggest problem on offense at the end of these games,0,1
Athiswamy,2023-09-27T19:19:47.000Z,Bucks offense will be a nightmare with giannis and dame but why about their perimeter defence?? Losing holiday created a big hole in bucks perimeter defence! #FearTheDeer,0,0
HB,2023-09-27T21:35:31.000Z,Anything the bucks lost on defense from trading jrue will be more than made up for by dame’s offense. Hard to see how the bucks aren’t the clear favorites.,0,2
classhandicapper,2023-09-27T19:30:57.000Z,Jrue Holiday gets no respect.  Jrue is elite defensively and very good on offense. Dame plays only one side. It wouldn't shock me if the Bucks are WORSE after this trade.,1,10
Steve Sabbatini,2023-09-27T21:17:51.000Z,"I love love  Jrue Holiday. Top 5 favorite Buck of all time and a Bucks Legend. But this is why the Bucks had to make a move to get a player like Dame. The half court offense the last 5 years needed a boost, and boy did it get it.",1,6
Play it Kul,2023-09-27T19:11:28.000Z,"Very mixed feelings on the trade. Absolutely love Jrue and everything he did for the Bucks. Dame is for sure a great addition on offense, but a little worried about our perimeter defense now. And who starts alongside Dame as a guard.",0,0
HeftyMeal,2023-09-27T21:23:04.000Z,Dame is good but cmon man you’re making sound like Dame is LeBron. Bucks offense got better but their defense got worse. We’ll see what they look like on the court before making assumptions like this.,0,0
stylish but illegal monkey,2023-09-27T19:56:37.000Z,"The Bucks have never lacked offense, and that's all Dame brings.

Giannis, Middleton and Jrue could give you 40 on any given night. Brook one of the best shooting bigs.

Losing their best perimeter defender for extra offense doesn't seem too smart to me.",1,0
col,2023-09-27T18:31:52.000Z,"Bucks finally getting some good half court offense with Dame, they’re gonna be scary",0,3
Ethan Ward,2023-09-27T19:31:56.000Z,"While sending Jrue packing is bittersweet, look no further than the Bucks' putrid offense down the stretch against Miami.

Dame's level of guile and decisiveness makes him the perfect offensive linchpin to ensure Milwaukee's sets never get bogged down in the same manner.",0,1
King Je Suis,2023-09-27T21:20:38.000Z,Don’t overthink it. Dame is fantastic on offense. Bucks defense won’t be the same with him and without Jrue though,0,0
JB,2023-09-27T19:07:33.000Z,Dame playing in the Bucks offense will be crazy,0,0
Sully,2023-09-27T20:40:47.000Z,"Idc what y’all say. 

Dame’s offense is not going to help the Bucks when they traded away their actual best defender.",0,0
Brandon rif,2023-09-27T18:47:18.000Z,"The Bucks have this year in the bag  Dame and Gianni’s is scary, that bucks team has everything elite from offense to defense. Heat so cheap all they can afford is undrafted players and when too expensive they let them go ",1,2
Frank Lucas,2023-09-27T23:36:34.000Z,"Jrue was a great defender for the Bucks, Dame is a horrible one. Maybe his offense will trump his defensive inefficiency.",0,0
Neptune,2023-09-27T21:18:44.000Z,"But on a real though,a Dame and Giannis partnership is a match made in heaven on offense. Also the Bucks now have a consistent closer which they showed they needed after the playoffs last year. Jokic and Murray vs Giannis and Dame in the finals is about to feed families",0,0
Casper,2023-09-27T19:31:10.000Z,Damn you lose Jrue but you get Dame.. it's like a offense defense switch especially with how the Bucks play,0,0
ron mexicuh ☭,2023-09-27T18:37:04.000Z,"Losing Jrue hurts but his defense can be replicated and his offense doesn’t even come close to Dame, net positive for the Bucks with that squad.",1,1
BIG LIBRA ENERGY,2023-09-27T19:09:46.000Z,Its based on the player. Giannis is reallllly good. There is no guard in the nba that fit giannis more than Curry but Dame is definitely a great second choice. The bucks offense was mainly carried by giannis and thats not sustainable. They need a go to scorer not named giannis,0,0
Toucansam,2023-09-27T18:19:19.000Z,Am I the only one who thinks the Bucks got worse without Holiday? Yeah Dame can score but the Bucks traded their stalwart defense for a better offense and I don’t think their offense was bad to begin with…,0,0
SmokelyCarmichael,2023-09-27T18:24:02.000Z,"I wouldn’t trade Jrue Holiday for Dame. The Bucks just got a lot worse on defense, a little better on offense.",0,0
Dark Skinned Orcanizer,2023-09-27T18:36:26.000Z,"Iced the 
@MiamiHEAT
 out like a muthafucka

Can't wait to see the Bucks during the season. 

No offense to Dame, but the bucks gotta get that work",0,0
louisludwig,2023-09-27T19:04:04.000Z,"No.
Love Jrue, one of my favorite players.
Cannot over look how bad his offense has been on the playoffs though. His defense was amazing, yes, but Dame makes the bucks offense nigh unstoppable and they still have a top 10 defense at the VERY worst",0,9
Jomarion,2023-09-27T18:47:16.000Z,"Bucks offense will be insane with Dame and Giannis, but the defense took a big hit. Would’ve traded Khris Middleton tbh. 

Suns downgraded and I like Nurkic.

Blazers could’ve of gotten a better deal.",0,1
Josh Engleman,2023-09-27T18:37:13.000Z,"Shoutout to 
@kmedved
 for just having this out there for everyone. I think there's something to the Bucks trading guard defense for guard offense, but there's a case to be made that Dame and Jrue are equal. Very interesting bet by the Bucks.",7,16
Jamaal,2023-09-27T18:21:07.000Z,Dame don’t solve the bucks not being able to guard wings. Offense should improve tho,0,0
Jeremiah Martin,2023-09-27T18:54:28.000Z,"Picture this..

Dame offense, Jrue defense/offense at the 2,

Then you have Giannis plus the bench they have, bucks will be a issue especially on defense this season. 

#NBA #ESPN",0,0
Maaly Amin,2023-09-27T18:38:53.000Z,"I think the Bucks are better, long as the run they offense through Dame",0,0
Greg Hrinya,2023-09-27T19:27:49.000Z,"That's an incredible trade for the Bucks. To bring Lillard's offense to a team with Giannis, Middleton, Lopez, Portis is quite a steal. Plenty of D to cover up for Dame, and his offense should put them on another level. Big day for the Bucks.",0,2
Grzegorz,2023-09-27T19:55:59.000Z,"This team looks fantastic. The #Bucks' defense will still be excellent despite losing Jrue, and the addition of #Lillard will make the offense much better. The Bucks are extremely well-balanced.
The duo of Giannis and #Dame is something that will be unstoppable ",0,0
MEB,2023-09-27T19:10:18.000Z,"In 2023-24 offense has passed defense. It just has. It's more important. Jrue was the right guy at the right time and Dame is hopefully the right guy, but it's the right time. #Bucks 

Have to play defense, but great offense can win the whole thing more than in the last 30 years",0,0
Lakersalltheway,2023-09-27T22:13:34.000Z,The Nuggets offense Lakers faced last playoffs is easily better than the Bucks offense with Giannis and Dame,0,1
Eli Skaljac,2023-09-27T18:44:52.000Z,"Love Jrue, best guard defender in the league.. the gap between him and Dame tho is HUGE. Bucks defense will stay elite as long as Giannis/Brook are there. Dame makes their offense elite as well now. Jrue had been awful offensively in the postseason",0,1
Brazell Dazzle,2023-09-27T19:23:33.000Z,"I get why the Bucks made the deal for Dame, but I don't see the upgrade we need to keep Giannis here.

Better offense for sure, but huge downgrade on defense losing Holiday.

Marjon better see a minute increase with Allen gone. Bucks need to start devoting time to develope youth.",0,1
DreZ.,2023-09-27T19:12:47.000Z,"Suns not beating the Nuggets with Nurkic as they center. Jokic gone give him 20/20/10 wit ease. 

Celtics & 76ers will put the Bucks out. They have no offense outside of Giannis & Dame.",0,0
searlo Driving Crooner fleet,2023-09-27T23:53:48.000Z,"Dame to Bucks over Heat = 

Celts having to play against Bucks defence with Dame offense = ",0,1
Colby Wright,2023-09-27T19:06:55.000Z,Dame going to Bucks instead of the Miami Heat is a criminal offense by the NBA.,0,0
Jordan’s Wife saw Beyoncé twice!,2023-09-27T18:44:10.000Z,Bucks gain offense from dame but also lose a lot of defense so it’s a toss up imo. A healthy middleton and that team is dangerous but without him I’m not buying it,0,0
Big Bad Bell,2023-09-27T18:20:05.000Z,"Dame my guy, yet Bucks gain offense but loose Defense!!",0,0
David Wekselbaum,2023-09-27T19:34:24.000Z,"Dame addresses the primary reason the Bucks offense fails in key playoff moments in recent years. Will be at the expense of elite perimeter defense, but possible that balances out. I think it unlocks Giannis to only focus on what he’s generational at.",0,4
Christian Weaver,2023-09-27T19:33:14.000Z,"People really overrate perimeter defense in basketball. Stars are going to score, there’s not much you can do about it. What you gain on offense from Dame FAR outweighs what Jrue brought to the table. What really matters is rim protection which the Bucks have (Brook Lopez)",0,2
WMJ,2023-09-27T20:43:49.000Z,"Coach I'm torn on this. I get why the Bucks made the move, but I can't help feel like they needed Jrue's defense more than Dame's offense. And I'm concerned about the chemistry.",0,4
Jake,2023-09-27T19:33:26.000Z,"The Bucks are a new team this year.  Jrue and Dame are the same age, I think a month apart so this doesn’t age you. The Bucks problem the last few years has been if Jrues offense disappeared they were in trouble. That shouldn’t be an issue for Dame.  Beasley and Allen are a wash",0,0
louisludwig,2023-09-27T19:00:36.000Z,"Even if you aren’t high on Dame he’s still a massive improvement from Jrue.
Love Jrue and his defense, but his inconsistent ability to create his own shot is part of the reason the bucks had a terrible half court offense.
Dame opens up a world of options for them",0,0
Dante Brye,2023-09-27T18:38:34.000Z,Dame/Giannis pick and roll is going to be crazy & with Middleton on the weak side the Bucks may finally have a consistent half court offense. Defensively they get worse & still have no wings but they keep Dame away from Miami who undoubtedly got worse this summer.,0,1
,2023-09-27T18:58:40.000Z,even if i dont think the bucks are winning a chip im actually very excited to watch them next season. dame and giannis can create great spacing for each other its gonna be insane offense,0,2
The Unofficial Mayor of Swindon,2023-09-27T19:44:28.000Z,"GFY, no offense. Stop the 'Sconnie hate.",0,3
Bobby  Scorsese,2023-09-27T19:44:46.000Z,The scoring Dame brings in the postseason will be interesting to see with how rudderless the Bucks offense looks sometimes. Think they’re still missing something tho,0,0
Cyrus Rogers,2023-09-27T19:09:17.000Z,"#Dame to the #Bucks is box office with #Giannis. This swings the East towards Milwaukee. They lose defence, but gain major offense. Do they walk the East? I'm not sure, but they have more firepower. Let's not forget how well the Suns & Blazers have done too.",0,2
PD,2023-09-27T18:59:01.000Z,"if the dame-giannis pnr is as good as twitter thinks, i think we would've seen significantly more fluidity from the bucks' offense in the past in the postseason

yes, jrue was bad in the playoffs

yes, there was no pnr partner like dame

but giannis' natural state is not off ball",2,3
Will,2023-09-27T20:01:18.000Z,"the bucks are going to be really good. dame's spacing on offense is going to unlock giannis, and they retain the defensive backline of brook-giannis-middleton. the only weakness i see is the lack of perimeter defense, but they have versatility on the back end to help with that",0,1
(J.I.F),2023-09-27T20:48:37.000Z,I’m not too moved by this trade… Dame better work on his playmaking unless Giannis going run the offense and dame playing off ball…. Bucks backcourt defense looking nasty as well ,0,4
Sam Mazzullo,2023-09-27T18:31:27.000Z,Dame for Jrue swap is fascinating from the Bucks perspective because while that offense becomes scary their whole defensive identity is now put in question. POA D goes from a strong strength to a major hole on that roster,0,2
Carlos Birde Legaspy,2023-09-27T18:58:13.000Z,"Dame ain’t the defender holiday is, gave up defense for offense, and the bucks built on defense going to be interesting watching them this year 
Suns really won that trade much needed depth",0,1
BBall Index,2023-09-27T19:48:18.000Z,The Bucks upgraded their offense today in a big way. Dame had the top O-LEBRON in the league last season,2,27
Aaron Washington,2023-09-27T18:35:24.000Z,"Bucks!! 

Dame for Jrue is a bit of a tradeoff between offense & defense, but there's no denying they'll be deadly.

Blazers grabbing Ayton in the swap is A+ business. Still young enough to fit their timeline.

PHX adds to a great summer by grabbing more depth.",0,1
The Let It Ride Podcast,2023-09-27T20:04:08.000Z,"Dame is more of a downgrade from Jrue defensively than he is an upgrade offensively 

Is offense more important and is Dame a better player?  Of course 

But the Bucks completely gave away their identity with this trade",0,0
Ara Tazian,2023-09-27T19:46:21.000Z,I think Dame is a better fit. His high volume and accuracy from well behind the 3-point line will supercharge the Bucks offense. The Bucks are well configured to cover his shortcomings on defense. Plus Dame has been a lot better in playoffs than Jrue.,0,0
Three Level Scorer,2023-09-27T19:37:56.000Z,"It's a defense-for-offense trade-off, but given how the Bucks struggled to score in the playoffs last year, seems sensible. They still have two top defenders in Giannis and Lopez to protect the rim. Dame's never had that kind of support.",0,2
A-Dub,2023-09-27T18:35:58.000Z,I can’t say this is a good move or bad move…Jrue Holiday played well on offense and defense and helped Bucks win a chip. We know Dame brings the offense at an elite level.  Dame and Giannis got to win a chip together…,0,0
Premiere Credit Service,2023-09-27T20:07:34.000Z,"I’m laughing at this Dame Lillard to the Bucks trade, yes they got a little better on offense but who will guard the high powered guards in the league now…..Not Dame…..Steph, Kyrie, Beal, Booker….will have field days against this weak perimeter defense of the Bucks!",0,0
SecretMarquette,2023-09-27T19:02:43.000Z,"It is every game, both regular season and playoffs. It's probably my favorite source for stat nerdy NBA stuff. 

Dame is clearly a better overall fit because the bucks need offense instead of defense. 

It is still close to equal than it seems.",0,0
,2023-09-27T22:05:26.000Z,"Jrue didn’t stop Jimmy from nuking the bucks, all he did was just contribute nothing on offense that series. Dame is a nuke. 

Also, the 2 best ways to beat the bucks are gone. The “wall” won’t work with dame bringing the ball up and shooting from half, and hack a Giannis is gone",0,0
Yomi Kazeem,2023-09-27T20:12:20.000Z,"There's no tactical answer for that Bucks offense which means most teams will collapse their defense on Dame/Giannis, and dare Khris Middleton, a ~40% 3-point shooter,  to beat them.",0,5
Evan Barnes,2023-09-27T19:07:20.000Z,"Bucks also swapped offense for defense. Jrue helped them win a title but Dame means less offensive burden for him and Giannis. Either way, it's win or bust. Dame ain't getting younger. We shall see

Larry O'Brien still gotta go through Denver IMO (And Boston?)",0,2
johanj,2023-09-27T23:51:29.000Z,The bucks defense got worse but the bucks are still going to be elite defensively bc they still have Giannis and brook on the team and I think giannis will have his most efficient season with dame bc he doesn’t have to be the whole bucks offense now,0,0
Yass95,2023-09-27T18:29:39.000Z,"deal insane for the bucks, playoff offense got so much better and consistent with dame (jrue was so bad shooting in the playoff even when they won)",0,1
classhandicapper,2023-09-27T21:20:41.000Z,I already know that Dame is one of the best offensive players in the NBA and the Bucks will be better on offense.  What you underrating is that Holiday is solid on offense overall and one of the best defensive players in the NBA. Dame is a negative defender.,0,0
G,2023-09-27T23:04:18.000Z,"U don’t understand, the bucks needed better outside shot creation and Dame is one of the best ever in that category, also Holiday’s offense has been piss poor in the playoffs",0,4
Alan Bykowski,2023-09-27T22:21:50.000Z,"When Dame and Giannis are leading the Bucks to 140/night on offense, that won't matter ",0,0
Paul George,2023-09-27T18:55:26.000Z,"Heat don’t get Dame which is hilarious

Bucks add offense and playmaking but lose defense and height (I’m less familiar with Jrue’s playmaking ability)

But who is gonna guard the J’s on the wings? Jrue was better for that than Dame will be

Trade seems good for us lowkey ",0,0
Raheem Palmer,2023-09-27T18:56:00.000Z,"Strongly disagree. For as bad as the Bucks postseason offense has been, I'd gladly give up Jrue at this stage of his career for Dame who should drastically improve their postseason offense. In all honesty, Jrue was getting cooked by Jimmy in the postseason too.",1,67
jhaq,2023-09-27T21:45:43.000Z,"I'm not the only one happy the bucks traded away Jrue Holiday. Dame isn't a cakewalk, but Jrue was giving the Pacers 50 while clamping the entire offense. Will not miss Jrue's presence in the Central Division!!",0,2
Christopher Jacob,2023-09-27T23:04:25.000Z,Everyone’s saying “Dame’s going to give you 25-30… The offense will carry them”. The Bucks are going to give up just as much if not more with no real defense at both guard positions. You can’t get by with 2 starting defensive liabilities in the post season,1,3
BlaiseBets,2023-09-27T18:52:21.000Z,"Now, with Dame being able to run the offense in the clutch, it’s going to be VERY difficult to stop the Bucks. Between Dame’s three ball, Middleton’s midrange, and Giannis’ scoring down low, the Bucks are going to wreak havoc in all three levels.",0,3
Nick.vet Ⓥ,2023-09-27T18:59:39.000Z,That’s fair. I think on offense adding dame is a game changer. I’m looking forward to seeing it all play out. I think the bucks got a lot more interesting.,0,4
Betsey,2023-09-27T18:54:36.000Z,"yeah i'm not hating on Jrue at all he's a great player, but he's absolutely NOT the solution for a team with a terribly stagnant half court offense.

(hence why the Bucks upgraded to Dame lol)",0,0
Mike Dynon,2023-09-27T23:31:30.000Z,"Dame is a coup for the Bucks, but it’s better than the Heat getting him. Dame adds offense, takes away defense, Celtics can still beat them. To get Jrue means losing Brogdon + Rob or Al, so probably not happening straight up. But your last sentence is the key. Start the season!",0,2
