Username,Time,Tweet,Retweets,Likes
LakeShowYo,2023-09-27T22:26:53.000Z,"“Giannis drives… kicks it out… Dame from the logo… BANG! PLUS THE FOUL! Dame Lillard now with 50 points!

…and the Bucks cut the Lakers lead to 21 with 7 minutes left to play”",2.5K,27K
ClutchPoints,2023-09-27T23:54:36.000Z,"""It's a perfect situation for Damian Lillard... Philly is in a world of trouble... keep your eyes open for Joel Embiid. He might demand to be traded after this.

Stephen A. Smith reacts to Dame being traded to the Milwaukee Bucks ",97,580
Zay,2023-09-27T23:17:15.000Z,Give me this 5 over Dame & Giannis Bucks,17,145
w4yst,2023-09-27T22:36:48.000Z,DAME TO THE BUCKS NIGGA,0,5
Santi,2023-09-27T23:54:41.000Z,"Heat are front runners for Beal

Don’t make great offer

Suns get Beal

Heat believe Dame will ask out, which is why they held back on Beal

Dame requests a trade to Miami ONLY (no way they mess this up, right?)

Heat don’t make an “all-in” offer",42,178
Abby the Sports Artist,2023-09-27T23:30:22.000Z,"Will I be painting a 
@Bucks
 themed Dame painting? Absolutely yes. He was the first player to inspire me to play bball in middle school, and the first athlete I ever painted. So you see, my art career wouldn’t be where it is now if it hadn’t been for his NBA career God is good!",7,99
Trippy OG (VSN Basketball Station Founder),2023-09-27T23:35:16.000Z,Listen to the most recent episode of my podcast: KnickN30 Raw & Uncut: Dame To Bucks !!!,8,8
BEAM,2023-09-27T23:40:19.000Z,"today is a exciting day,

i dropped a new EP 

fall is starting,
Milwaukee Bucks got DAME, 

just a nice vibe. happy for my city milwaukee, gotta take a trip back and catch a game",5,16
HeatLifer,2023-09-27T23:12:34.000Z,"Woke up to see my team have lost the Dame sweepstakes, Jimmy calling out Bucks for tamperimg, and Jameree Bouyea has been cut from the roster...",3,10
Uncle Baby AJ,2023-09-27T23:40:07.000Z,Everyone talkin about Dame to the Bucks when you should be out there spendin a few bucks on your dame.,2,9
Scotty,2023-09-27T22:57:12.000Z,"Hey I’m an upcoming sports journalist, if you guys have time check out my video on the Dame trade and any ideas or ways I could get better I would greatly appreciate it

Dame To The Bucks!",20,31
mr.perfect,2023-09-27T23:17:19.000Z,"Was Dame to the Bucks a weak move? 

How come?",0,7
Saty,2023-09-27T22:40:18.000Z,Me seeing Dame go to the Bucks,2,28
🅽🆃🅴,2023-09-27T23:38:47.000Z,Y’all like tha fit dame to bucks ?,9,39
NO SAUCES ENT. ,2023-09-27T22:45:05.000Z,"Dame is not on Steph’s level lol

The bucks aren’t guaranteed to be in the finals",8,30
TTYME2K,2023-09-27T23:02:14.000Z,This guy…,2,58
,2023-09-27T23:42:02.000Z,Fab woulda had a crazy Dame Bucks line by now.,1,2
zeyy ☆ (8-3),2023-09-27T22:37:49.000Z,so dame on the bucks now? ,0,12
Cafe Con Pierre #FreeDame,2023-09-27T22:47:31.000Z,It sucks for me because like vic and jimmy before the Heat Dame was one of my favorite non-Heat players . Ya’ll gone get mad if I get a Dame Bucks jersey? Still not a bucks fan tho ,0,1
Rights To Ricky Sanchez Podcast,2023-09-27T22:31:10.000Z,"Dame to Bucks, Jrue Holiday Available?",1,14
Aaron J. Fentress,2023-09-27T23:33:43.000Z,"The Blazers essentially traded Damian Lillard to the Bucks for Jrue Holiday, Grayson Allen, a first-round pick and two swaps. 

That’s all the Bucks gave up. 

Then Portland traded Nurkic, Little, Keon and Allen for Ayton and Camara.  

The value in the Dame trade depends on what…",25,117
N8,2023-09-27T23:44:25.000Z,Dame to the bucks cool but don’t forget the Celtics got this secret weapon ,0,4
Kden,2023-09-27T22:40:17.000Z,"Alternator check, sportsbook bet, Dame playing for the bucks next....lakers in 5!",0,9
First Things First,2023-09-27T23:40:00.000Z,"""I think of Kevin Garnett mostly as a Celtic. This would be the crowning achievement if Dame won a championship [with the Bucks]."" — 
@kevinwildes",13,96
Marc J. Spears,2023-09-27T22:45:29.000Z,"Sources to 
@andscape
: With Miami talks going nowhere, agent Aaron Goodwin privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there. The Raptors were a real contender to land the ex-Blazers star, but ultimately Bucks got it done per Woj report.",1K,2.7K
𝐿𝒶𝓀𝑒𝓇𝓈 𝒟𝓎𝓃𝒶𝓈𝓉𝓎,2023-09-27T23:08:33.000Z,"Bucks don’t scare me.. 

I’m not going to get sit here and say Oh No Bucks got Dame to pair with Giannis.. what will we ever do? .. 

Bro.. chill and man up.. competition is great.. bring it. Let’s go!! 

Lakers in 4.",5,62
𝓑𝓮𝓷𝓳𝓪𝔂,2023-09-27T23:00:16.000Z,"@Dame_Lillard
  @Bucks
 

What will his PPG be this season 

Graphic by me 
@wojespn",5,14
NetsKingdom,2023-09-27T22:51:15.000Z,"Damian Lillard Agent privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there via 
@MarcJSpears",17,164
Uncle Ben,2023-09-27T23:30:15.000Z,Per sources: Dame is lactose intolerant. Bucks are doomed.,0,6
ᴀᴄʜ™,2023-09-27T22:56:10.000Z,Went to sleep and woke up to Dame being traded to the Bucks?!????,1,23
Golden State Warriors Fan,2023-09-27T23:45:56.000Z,Giannis and Dame on the Bucks makes the offense better ,0,4
Uz,2023-09-27T23:00:59.000Z,The celtics,1,19
Matthew Dias,2023-09-27T23:57:47.000Z,This man,0,4
Alex Niemuth,2023-09-27T23:25:18.000Z,Still mind blown that the Bucks traded for Dame to pair with Giannis. Like this is absolutely wild. We have the best duo in the league now and 2 top 10 players. The amount of growth this franchise has had since new ownership and new general management is amazing. Love it.,0,12
evan,2023-09-27T23:38:58.000Z,how can i get my hands on a dame bucks jersey,0,0
BrookMuse,2023-09-27T22:29:00.000Z,"Crazy crazy evening, Dame going the Bucks through an unexpected Jon Horst Masterclass and also closing in on 1k, just great great times we’re living in right now, gonna call it a day so I wish you all a very very good night hope you all sleep well!
Love BrookMuse",0,10
WOJ ARTEST,2023-09-27T23:59:43.000Z,"Dame to the Bucks, I ain’t worried.

Pacers in 7. 

(I’m joking, holy shit Giannis, Dame & Middleton is ridiculous )",1,65
Ryan Horvat,2023-09-27T23:58:44.000Z,Hearing from multiple sources - it was actually (part owner) Aaron Rodgers who closed the Dame to Bucks deal.,0,40
Water Pistol Pete,2023-09-27T23:50:55.000Z,Still cant believe how little it cost to get Dame. All time heist. The Bucks version of the Lakers/Gasol trade with Memphis,1,7
Astro,2023-09-27T23:01:19.000Z,kd and book ofc,0,29
Skuba Steve,2023-09-27T23:35:19.000Z,Definitely finna add that Dame bucks Jersey to my collection ,0,0
✞rap,2023-09-27T23:56:26.000Z,"@Mbarnes_
 damn when we gone announce gettin dame 
@Bucks
 ?",0,0
