Username,Time,Tweet,Retweets,Likes
†,2023-09-27T20:08:31.000Z,"Giannis said give me something or im leaving and the bucks gave him prime Dame

LeBron said the same thing and the Cavs gave him 37 year old Shaq",1.1K,12K
NBA on ESPN,2023-09-27T19:41:11.000Z,"""Lethal.""
@stephenasmith
 on Dame Lillard joining Giannis and the Bucks.",406,2.6K
Fanimal,2023-09-27T18:58:56.000Z,"Giannis says he’ll leave Milwaukee to win a championship and Bucks responded by trading for Dame 

Embiid says he’ll leave Philly to win a championship and the Sixers responded by having Morey take a picture out front of a Crumbl cookies location

Wtf did I do to deserve this? ",433,3K
LakeShowYo,2023-09-27T22:26:53.000Z,"“Giannis drives… kicks it out… Dame from the logo… BANG! PLUS THE FOUL! Dame Lillard now with 50 points!

…and the Bucks cut the Lakers lead to 21 with 7 minutes left to play”",2.5K,27K
junes (dame is a buck),2023-09-27T19:39:47.000Z,"Bucks now have 3 franchises All Time Leading Scorer

-Giannis (Bucks)
-Dame (Blazers)
-Brook (Nets)",159,1.8K
Broward Stern,2023-09-27T19:29:50.000Z,"See me wit a tux, rangs, trucks, planes
Honest, before Giannis, I got Bucks wit Dame",27,41
Letting Go,2023-09-27T20:48:02.000Z,"The way you play Bucks now is by attacking Dame on every possession. Literally every single one. 

They will try to hide him & you seek him out like Bron did at the end of Blazers game. 

The domino effect is foul trouble for Giannis/Lopez & tired Dame.",38,218
MIAMI HEAT DEPRÊ,2023-09-27T21:36:23.000Z,"Milwaukee Bucks: Dame, Giannis, Middleton e Lopez 
Miami Heat: Poder da amizade",7,91
Zay,2023-09-27T23:17:15.000Z,Give me this 5 over Dame & Giannis Bucks,17,145
Harp,2023-09-27T20:33:36.000Z,"The 2 Man Game | Dame & Giannis

The bucks become so dangerous in the 2 man game. 

With Lillard being such a threat to score out of DHO & BS the defense is going to have to pick & choose.

Giannis passing ability out of short roll  will open up the floor for open shooters",1,26
C.J. Toledano,2023-09-27T19:28:38.000Z,Giannis welcoming Dame to the Bucks locker room,7,54
Emmanuel Acho,2023-09-27T22:22:29.000Z,"Here’s what Dame Lillard teaming up with Giannis means:

• Giannis will solidify himself as a top 10 player ever.

• Dame Lillard will win his first championship.

• The 
@Bucks
 will win championships, plural.",53,231
