Username,Time,Tweet,Retweets,Likes
ahdae,2023-09-27T18:34:34.000Z,Dame when he sees Giannis playing help defense,204,5.9K
Corey B,2023-09-27T18:26:40.000Z,"1. I’m so happy this shit is over

2. Bucks pairing Giannis and Dame is going to be a scary AF offense

3. Bucks took a huge hit on defense

4. Giannis has a legitimate closer now (which is huge for him especially mentally)

5. It’s going to be a fun fucking season",30,209
Corey B,2023-09-27T19:19:15.000Z,This is far more Miami fans. Dame and Giannis offensively will be scary but that defense took a major hit,2,39
Ricky G,2023-09-27T18:25:10.000Z,"Give me a few mins to digest this trade, I like the Dame fit with Giannis , I don't like Jrue defense gone , Nurk to Suns IDk,",8,60
Villain,2023-09-27T18:30:57.000Z,Dame ain gotta play defense lol Giannis will and Giannis doesn’t have to shoot dame can shoot enough for the team,1,0
Turtle,2023-09-27T19:02:40.000Z,"Dame to Milwaukee is so weird it feels like nobody was thinking of that as a possibility. Dame and Giannis as a duo is so unbelievable man, they are gonna play so well off each other and Dame being their offensive leader now will allow Giannis to focus more on his defense again",0,24
Harp,2023-09-27T20:33:36.000Z,"The 2 Man Game | Dame & Giannis

The bucks become so dangerous in the 2 man game. 

With Lillard being such a threat to score out of DHO & BS the defense is going to have to pick & choose.

Giannis passing ability out of short roll  will open up the floor for open shooters",1,26
threeballstwostrikes,2023-09-27T18:36:45.000Z,"that's an insanely scary duo for the rest of the league 

Dame and Giannis play VERY different styles of basketball that could mesh extremely well plus they complement each others weaknesses (defense for dame and three point shooting for Giannis)",1,0
BLUEMAN,2023-09-27T18:30:24.000Z,The got dame and giannis defense don’t matter as much now,0,0
javi,2023-09-27T18:37:09.000Z,"Hmmmmm

Dame / Giannis is obviously disgusting. PnR going to be unguardable

The defense… I don’t know. Lopez is so effective in drop because of how good Jrue is fighting through screens, Dame is… not the same. Khris was BBQ chicken on defense all season. Lost Jevon too…",0,10
K.C.,2023-09-27T18:29:50.000Z,"Dame with Giannis is 60+ wins barring injury

You lose POA defense and switchability but the upgrade in offense is astronomical

A Dame/Giannis high PNR is gonna be very hard to stop 

We’ll what happens in the postseason and the rest of the roster but this is a swing you take",14,41
Cooper Hird,2023-09-27T23:11:01.000Z,"The fact that some NBA nerds reaction to the Bucks pairing frickin Dame and Giannis is to nitpick the defense and question how valuable Dame is over Jrue frickin Holiday

Y’all this is potentially tail end of his prime Dame Lilliard with prime Giannis Antetokounmpo, bask in that",0,3
Fuentes,2023-09-27T19:48:36.000Z,"1st option Dame 
2nd  Giannis ( he will focus on defense) 
3rd Middleton",0,1
"B-L-M, Anthony is a bully",2023-09-27T18:27:22.000Z,From a pure basketball fit standpoint the fit couldn’t be more perfect for both sides. Dame is such a perfect fit for milwaukee’s halfcourt weaknesses and have the rim protection to protect Dame’s defense. Scaling back a bit of giannis’s half court ballhandling should help him,1,13
,2023-09-27T21:07:10.000Z,"Jrue + Grayson = 30 ppg, 39% 3pt, elite defense in exchange for 30 ppg, 37% 3pt, garbage defense

They'll be marginally better

Dame is an elite offensive player that will still defer to Giannis and can't defend anyone",7,15
abdul.,2023-09-27T19:46:05.000Z,"Dame can stretch the defense & that'll allow giannis to attack the rim, how doesn't their dynamic work https://twitter.com/tedtodorovic/status/1707098357045301677…",0,6
Lalo,2023-09-27T18:55:08.000Z,"Lakers in 5 still. 

Middleton is injury prone, Dame plays no defense in the playoffs. Giannis can’t play defense and score at the same time ",1,0
³⁴,2023-09-27T21:52:51.000Z,Has a nurkic anchored defense ,0,13
"Eric Adamcik, Grizzlies Chaplain",2023-09-27T19:05:42.000Z,"Giannis: “Oh thank God, spacing!”

Dame: “Oh thank God, defense!”",1,20
RJ,2023-09-27T23:28:55.000Z,fuck Jrue’s defense. Dame and Giannis literally a perfect fit smh,0,0
Esfandiar Baraheni,2023-09-27T18:43:07.000Z,"So Bucks rotation is: 

Brook 
Giannis 
Khris 
Connaughton 
Dame 

Bobby 
Crowder 
Beasley 
Beauchamp 

They’re a little thin and the perimeter ",48,122
A Huggs Life,2023-09-27T19:30:45.000Z,I'm already sick thinking about the porous bulls defense trying to stop the dame giannis pick and roll 4 times a year,0,1
Blog Boi,2023-09-27T18:28:53.000Z,"I’m guessing as far cities go, Portland to Milwaukee isn’t that much of a culture shift

Giannis and Dame on paper look like they work but that defense will suffer 

The Suns really hate Ayton ",0,4
Dizzle Dynasty Sports,2023-09-27T21:13:32.000Z,"WOW! Big trade to unpack from a dynasty perspective with a lot going on. Will delve into it more today.

For now, Bucks get a big-time upgrade on offensive firepower while losing Jrue’s elite defense. Huge potential in that Giannis/Dame/Middleton combo. ",0,3
•Tobi•,2023-09-27T18:28:15.000Z,"A lineup of 
Dame 
Marjon/Crowder
Khris 
Giannis
Brook
I think its still super soild defense no?",1,53
richard kim,2023-09-27T23:50:09.000Z,Giannis hinting about leaving made MIL make a move they didn't want to imo. Jrue the ideal type of player u want around Giannis. He took so much pressure off him defensively and allowed him to do what he does best. Need elite perimeter D to win. Dame's defense an abomination...,3,9
The Monopoly Man,2023-09-27T18:32:43.000Z,I still wanna see this new coach. But health khris Dame and giannis shesh.. gotta make sure defense solid though fasho,0,0
Big Glo,2023-09-27T21:00:59.000Z,I’m from Cleveland and the Cavs ARENT better than the bucks. Giannis and Dame ? Top 10 players in their prime rn best team in the east. Whatever Dame lack on defense I promise Giannis is gone cover,1,0
,2023-09-27T18:27:16.000Z,"This might be the first super trade I agree with! Giannis and Dame compliment each other perfectly!! 

Giannis lacks pure offense (Dame has)
Dame lacks pure defense (Giannis has)",0,0
ynkhe,2023-09-27T19:55:25.000Z,Giannis x Dame is scary but that defense is gonna be lacking without Jrue.,0,1
Shaquille Oat’meal,2023-09-27T18:31:59.000Z,Dame with Giannis is dope but they lose such good defense and leadership from Holiday that Dame won’t be able to replace whatsoever.,0,0
Jomarion,2023-09-27T18:47:16.000Z,"Bucks offense will be insane with Dame and Giannis, but the defense took a big hit. Would’ve traded Khris Middleton tbh. 

Suns downgraded and I like Nurkic.

Blazers could’ve of gotten a better deal.",0,1
,2023-09-27T19:11:32.000Z,"Dame, Middleton, Giannis. Not bad. Sacrificed perimeter defense at the expense of a more dynamic offense.",0,0
K.C.,2023-09-27T19:39:13.000Z,"Milwaukee is still going to shut the rim off with the Lopez Bros & Giannis

They just gotta be average with their perimeter defense. Think you can hide Dame’s poor defense when you have a Giannis/Brook waiting at the rim and not Nurkic",2,6
Lemon Pepper Lou,2023-09-27T18:30:01.000Z,The Heat should have traded for Dame. No way Miami beating Dame & Giannis. Bucks are a scary team. Defense took a hit but Giannis doesn't have to play a whole game anymore,0,1
B-40,2023-09-27T18:31:42.000Z,"Giannis gonna hate how Dame plays defense, but that's still a CRAZY trade",0,0
Zach (Enjoys every Nuggets tweet),2023-09-27T21:08:50.000Z,Brook and Giannis' defense is gonna look a lot worse with Dame on the perimeter instead of Jrue.,0,3
Jermal Chandler,2023-09-27T18:25:06.000Z,"Dame and Giannis?!?! Now that’s wild

But will Dame play defense like Jrue did?",0,2
Steve Jones Jr.,2023-09-27T18:26:47.000Z,"So the Bucks clearly heard everything Giannis said and said bet. But. They traded Jrue. And I have defense questions. But, Dame/Giannis pick and roll seems not fun especially with a small lineup.",11,109
Somtap,2023-09-27T18:40:16.000Z,"If they can get themselves a solid 2gaurd, this starting lineup is arguably the best in the league. 

Preferably a 3/d kinda guy, someone who can score off of the plays Dame/Giannis make and can help make up for Dame’s defense",0,4
Vaun,2023-09-27T18:43:31.000Z,"To be fair Giannis was still injured and Dame makes them better than the heat, Giannis, Middleton and Brook can all still play defense, they lost a helluva defense presence but will still be a very good defensive team and even scarier on offense. Who do you double? Dame or Greek",0,1
Mike Mulraney,2023-09-27T18:24:02.000Z,The last thing Giannis and Dame want is a Thibs coached defense in the ECF,0,1
Tyler Smith,2023-09-27T18:37:06.000Z,"Dame and Giannis together. Pretty wild. 

They will miss Jrue's defense though.",0,7
Jesse Mottes,2023-09-27T19:21:15.000Z,"Dame is gonna blow by his defender, suck in the defense and throw it off the glass to Giannis 30 times a game. Unstoppable. 

Can’t double Dame with Middleton and Giannis floating around. Good riddance the rest of the league is done.",0,1
swish,2023-09-27T20:01:07.000Z,still worried about their poa defense but dame giannis middleton offense is moving me,0,0
Savon,2023-09-27T19:49:18.000Z,Watching yall play giannis 5v1 on defense is gone on top of yall trading Marcus smart so now ya can’t even kinda guard dame ,1,45
Kunmi of #NCTSummit2023,2023-09-27T19:56:59.000Z,"Bro.. 

Giannis Brook and the new rookie on defense

Giannis Dame Middleton on offense",0,0
Eli Skaljac,2023-09-27T18:44:52.000Z,"Love Jrue, best guard defender in the league.. the gap between him and Dame tho is HUGE. Bucks defense will stay elite as long as Giannis/Brook are there. Dame makes their offense elite as well now. Jrue had been awful offensively in the postseason",0,1
Letting Go,2023-09-27T20:23:24.000Z,"Dame to the Bucks is a Game changer for them. Honestly it’s a perfect fit for Dame, because it’s one of maybe 2 teams in the NBA that can mitigate his lack of defense.

It will be interesting to watch Giannis & Middleton offball & how they work in that system. But Bucks are more…",3,38
Michael Garr,2023-09-27T18:24:55.000Z,I’m going to miss Jrue a lot. Watching him play defense is so fun. But Giannis and Dame  my goodness!,0,4
"John, Lakers in 6",2023-09-27T18:52:17.000Z,"Giannis covers Dame defense liability, and goes the same for giannis shooting",0,0
Fantasy Benchwarmers,2023-09-27T21:47:20.000Z,"I have to agree, I don’t think Dame and Giannis is automatic title…defense still prevails in the playoffs and they got a downgrade in that department",0,1
austin,2023-09-27T19:21:21.000Z,"Still have Middleton’s defense, and giannis is a monster on defense. Yes they lose jrue, but dame is 5x better then jrue at this point in his career. They still have great defensive players and now added one of the best shooters of all time next to giannis",0,1
Corbin Smith,2023-09-27T20:47:27.000Z,"giannis could really help with dame's biggest problem, a completely lack of interest in defense, and dame could rearrange their shit in a way that makes them extremely hard to guard. also ayton is good. good trade, less annoying than I hoped",1,20
,2023-09-27T21:54:39.000Z,What you saying ain’t too off for dame but I believe it won’t really matter. They will contend because of the greatness of Giannis and dame. Giannis can focus more on defense now and not as much as scoring and dame can lead more.,0,0
Derrick White Enjoyer,2023-09-27T22:22:39.000Z,The “let him cook” defense is Giannis and Dame combining for 80 points while the Bucks finish with 87 points,0,1
