Username,Time,Tweet,Retweets,Likes
Stifle-Tower27,2023-09-27T18:26:53.000Z,"“No one will be able to stop Dame and Giannis on offense!!!”

Sure buddy…",3,88
Corey B,2023-09-27T18:26:40.000Z,"1. I’m so happy this shit is over

2. Bucks pairing Giannis and Dame is going to be a scary AF offense

3. Bucks took a huge hit on defense

4. Giannis has a legitimate closer now (which is huge for him especially mentally)

5. It’s going to be a fun fucking season",30,209
Zona,2023-09-27T18:58:41.000Z,"If Phoenix does end up meeting Milwaukee in a 2021 rematch... 

I for one, am thrilled that Jrue Holiday will not be wearing a Bucks uniform. 

As terrifying as the Dame-Giannis duo is, Phoenix's offense can keep up.",22,513
Baltej,2023-09-27T18:36:33.000Z,Best interior threat in the league paired with the 2nd best perimeter threat in the league. Giannis/Dame offense is actually gonna be one of the deadliest we've ever seen,6,51
Curry Flurry,2023-09-27T23:45:56.000Z,Giannis and Dame on the Bucks makes the offense better ,0,4
K.C.,2023-09-27T18:29:50.000Z,"Dame with Giannis is 60+ wins barring injury

You lose POA defense and switchability but the upgrade in offense is astronomical

A Dame/Giannis high PNR is gonna be very hard to stop 

We’ll what happens in the postseason and the rest of the roster but this is a swing you take",14,41
"Tom Gugliotta, shucks",2023-09-27T21:24:12.000Z,So it is a win-win-win trade like you can’t beat a Dame/Giannis combo on offense and Portland got more than anyone thought and should still get more while Phoenix makes their roster make more sense and gets more shots at depth but what my book presupposes is “what if it’s not?”,0,0
Robert,2023-09-27T19:29:31.000Z,"Have zero issue with dame asking out of Portland. 

He did his best. 

He deserves a better shot. 

Dame and Giannis on offense will be ",0,0
,2023-09-27T18:33:57.000Z,"LMFAOOO NOOOOO 

their offense runs through Giannis, Dame is a ball dominant guard, 3rd seed at best",0,0
stylish but illegal monkey,2023-09-27T19:56:37.000Z,"The Bucks have never lacked offense, and that's all Dame brings.

Giannis, Middleton and Jrue could give you 40 on any given night. Brook one of the best shooting bigs.

Losing their best perimeter defender for extra offense doesn't seem too smart to me.",1,0
Al Horford Pacino,2023-09-27T18:41:40.000Z,"I really liked all of the Celtics moves this offseason… in the context of their primary competition not being able to field elite halfcourt offense. 

I just don’t think the moves are enough if Dame and Giannis are healthy.",5,12
G00N,2023-09-27T18:26:45.000Z,Wow Dame & Giannis P&R offense will be completely unstoppable ,0,0
Josh Moore,2023-09-27T18:35:39.000Z,I cannot wait to watch an offense run around Giannis and Dame,0,0
Eagles 10-3,2023-09-27T18:33:06.000Z,Plus Giannis not gonna have the ball as much. We never seem Giannis play without the ball or Dame run a offense through a big,0,1
Karan,2023-09-27T18:44:06.000Z,A Dame Giannis offense is just insane my god,0,1
HAGRID FROM 3,2023-09-27T19:46:42.000Z,"My hot take: 

Milwaukees offense will be worse with Dame. 

More traditional PG led sets means less inverted bully ball sets. 

This is going to force Giannis to play more of a traditional big man role, which will not go well.",0,6
Roc,2023-09-27T20:30:00.000Z,"This is gonna be huge. Offensive fire power. No disrespect to Jrue but having Dame with Khris on those half court sets about to be NASTY..

And that’s not including the potential in Giannis’ post game from the Hakeem workouts. I’m all for trading away some defensive for offense.",2,23
Franklin St Patrick,2023-09-27T18:54:12.000Z,Dame and Giannis have no excuses now . That offense is toxic  .,0,2
Paco Parcha,2023-09-27T21:46:47.000Z,"I am fucking geeked that Giannis x Dame is now a reality. That pick & roll offense between those two finna be generational  it’s ring or bust now, can’t fucking WAIT  #FearTheDeer",0,2
Josh Moore,2023-09-27T18:31:10.000Z,Giannis Dame and Khris is gonna be a juggernaut offense,0,0
DyFrex2,2023-09-27T18:20:17.000Z,Wow holy shit.  Dame and Giannis together is going to be a crazy hard offense to stop.  Giannis finally got an elite shooter to play with finally and Dame gets to play with an elite big man for the first time in his career,0,0
Neptune,2023-09-27T21:18:44.000Z,"But on a real though,a Dame and Giannis partnership is a match made in heaven on offense. Also the Bucks now have a consistent closer which they showed they needed after the playoffs last year. Jokic and Murray vs Giannis and Dame in the finals is about to feed families",0,0
Spencer Dumwiddie,2023-09-27T19:14:44.000Z,Dame and Giannis on the same team is a problem. That offense is too elite,0,0
DreZ.,2023-09-27T19:12:47.000Z,"Suns not beating the Nuggets with Nurkic as they center. Jokic gone give him 20/20/10 wit ease. 

Celtics & 76ers will put the Bucks out. They have no offense outside of Giannis & Dame.",0,0
swish,2023-09-27T20:01:07.000Z,still worried about their poa defense but dame giannis middleton offense is moving me,0,0
,2023-09-27T18:27:16.000Z,"This might be the first super trade I agree with! Giannis and Dame compliment each other perfectly!! 

Giannis lacks pure offense (Dame has)
Dame lacks pure defense (Giannis has)",0,0
George Kittle's #1 fan™,2023-09-27T18:28:04.000Z,"Losing Jrue hurts but for Dame, you get offense. Dame and Giannis would be tough",0,0
Darrell,2023-09-27T23:32:02.000Z,Dame is better than Murray on offense and Giannis is better than joker on defense.,0,2
Drew,2023-09-27T23:40:18.000Z,"Sports fans are weird.

If the Bucks didn't make the Dame trade because they didn't want to lose Jrue's defense, everyone would be losing their mind about how Dame's offense is worth it and how Giannis is going to leave.

Instead they did it and people are crying about defense.",0,0
BIG LIBRA ENERGY,2023-09-27T19:09:46.000Z,Its based on the player. Giannis is reallllly good. There is no guard in the nba that fit giannis more than Curry but Dame is definitely a great second choice. The bucks offense was mainly carried by giannis and thats not sustainable. They need a go to scorer not named giannis,0,0
Jeremiah Martin,2023-09-27T18:54:28.000Z,"Picture this..

Dame offense, Jrue defense/offense at the 2,

Then you have Giannis plus the bench they have, bucks will be a issue especially on defense this season. 

#NBA #ESPN",0,0
BVS,2023-09-27T22:57:16.000Z,"Exactly. Dame running and Giannis running.

Dame should have set the defensive standard for his team and led that way. Never did.

Giannis should have developed his offense. Never did.

Now they are hoping they fill each other's voids, but it doesn't work like that all the time",0,1
Jomarion,2023-09-27T18:47:16.000Z,"Bucks offense will be insane with Dame and Giannis, but the defense took a big hit. Would’ve traded Khris Middleton tbh. 

Suns downgraded and I like Nurkic.

Blazers could’ve of gotten a better deal.",0,1
Eli Skaljac,2023-09-27T18:44:52.000Z,"Love Jrue, best guard defender in the league.. the gap between him and Dame tho is HUGE. Bucks defense will stay elite as long as Giannis/Brook are there. Dame makes their offense elite as well now. Jrue had been awful offensively in the postseason",0,1
Lakersalltheway,2023-09-27T22:13:34.000Z,The Nuggets offense Lakers faced last playoffs is easily better than the Bucks offense with Giannis and Dame,0,1
Gordon,2023-09-27T22:08:16.000Z,"Yeah does hurt, we’re gonna miss his defense a ton

But it’s gonna be more than worth it for a Dame/Giannis offense",0,0
Avon Sparksdale,2023-09-27T18:48:29.000Z,"Like man I would've gave up Middleton because Dame replaces that offense for sure but defensively we're a huge question mark on the perimeter now 

Giannis got what he wanted. Better be ready to step up",0,2
