Username,Time,Tweet,Retweets,Likes
LakeShowYo,2023-09-27T22:26:53.000Z,"“Giannis drives… kicks it out… Dame from the logo… BANG! PLUS THE FOUL! Dame Lillard now with 50 points!

…and the Bucks cut the Lakers lead to 21 with 7 minutes left to play”",2.5K,27K
GiannisMuse,2023-09-27T23:54:55.000Z,"Leaders in PPG in the 2020s 

29.7 — Giannis 
29.4 — Dame 

Both of them are now teammates ",46,546
,2023-09-27T22:01:03.000Z,"Chris Paul traded to warriors 
Giannis got dame 
Cup cake Durant recruited Beal 
Celtics got porzingis 
While harden out partying",0,30
Olivia Rodrigo Duterte,2023-09-27T23:08:10.000Z,When you realize the nickname for the Dame and Giannis team up is going to be “Freak Time” #NBATwitter,3,7
Snoopy,2023-09-27T23:14:41.000Z,This is gonna destroy all the Dame x Giannis hype,4,23
Zay,2023-09-27T23:17:15.000Z,Give me this 5 over Dame & Giannis Bucks,17,144
Beastbrook,2023-09-27T23:41:53.000Z,"In 2023, the NBA had 6 players averaging 30+ PPG:

Embiid (33.1) 
Luka (32.4)
Dame (32.2)
Shai (31.4)
Giannis (31.1) 
Tatum (30.1) 

In 2017, the NBA only had ONE player averaging 30+ PPG:

Russell Westbrook (31.6) 

Brodie’s MVP season changed the game forever ",7,84
…,2023-09-27T22:58:29.000Z,Dame and Giannis gonna be box office.,1,6
22,2023-09-27T22:17:00.000Z,Dame x Giannis duo,0,4
ßerris,2023-09-27T23:34:06.000Z,that first Dame x Giannis linkup at the Packers game hittin like FETTY,1,52
,2023-09-27T23:53:45.000Z,"So who's getting double teamed?

Focus on Giannis in the paint, Kick out to Dame from 30...

Focus on Dame at half, playing 4 on 3 with Giannis rim running

like i said its fuckin OVA WIT#FearTheDeer",15,243
𝘿𝙖𝙢𝙚_𝙏𝙞𝙢𝙚,2023-09-27T23:20:17.000Z,From playing with a borderline all star as his best player to one of the best in the world is crazy! Dame spacing with Giannis rim pressure ,0,18
Ky,2023-09-27T22:29:54.000Z,Giannis and dame were once viewed as the only guys to be against “superteams”,4,25
TaborTots DreamHack ATL,2023-09-27T22:17:07.000Z,Dame and Giannis on the same team ,0,8
rockRockedRock,2023-09-27T22:45:34.000Z,Giannis-Dame PnR is gonna be crazy what do you even do there,0,10
D€€Z¥ ⓧ,2023-09-27T22:52:15.000Z,Dame and Giannis on one team only time you'll see this talent on ur team in yo whole lifetime. U motherfuckers better be standing at games,19,194
Yeez,2023-09-27T23:23:51.000Z,Dame & Giannis not that scary fr,0,3
TTYME2K,2023-09-27T23:02:14.000Z,This guy…,2,57
Nathan Marzion,2023-09-27T22:15:02.000Z,"You could make the argument that

Giannis is the best #1 in the league
Dame is the best #2 in the league
Healthy Khris is the best #3 in the league
Brook is the best #4 in the league",126,2.4K
AlexHoops,2023-09-27T23:10:18.000Z,"If Khris stays healthy this season, I could easily see him having the best season of his career. He’s gonna feast off of Dame/Giannis gravity and not have to shoulder nearly as much of a burden. This is the ideal scenario for his game to age as gracefully as possible",17,234
Moneybagg Yo(hannes),2023-09-27T23:17:47.000Z,That first Dame to Giannis LOB gonna hit like crack in the 80s,14,84
𝐿𝒶𝓀𝑒𝓇𝓈 𝒟𝓎𝓃𝒶𝓈𝓉𝓎,2023-09-27T23:08:33.000Z,"Bucks don’t scare me.. 

I’m not going to get sit here and say Oh No Bucks got Dame to pair with Giannis.. what will we ever do? .. 

Bro.. chill and man up.. competition is great.. bring it. Let’s go!! 

Lakers in 4.",5,62
Drix,2023-09-27T22:35:41.000Z,Getting caught in a Dame & Giannis Pick in roll boutta give a few people nightmares lol.,0,3
Jimmy Lemke,2023-09-27T22:03:10.000Z,Giannis-Dame is going to be the most dangerous 1-2 since Shaq-Kobe,2,14
Sean Highkin,2023-09-27T23:36:10.000Z,Dame and Giannis is going to be insane.,13,267
