Username,Time,Tweet,Retweets,Likes
Nets Fan,2023-09-27T21:47:42.000Z,NBA CENTRAL CANT TWEET ABOUT DAME ANYMORE,4,61
ClutchPoints,2023-09-27T19:11:47.000Z,"There is no loyalty in the NBA anymore. But there is Damian Lillard...

11 seasons.
769 games.
27,942 minutes.
2,387 threes.
19,376 points.
1 All-Star teammate.
0 MVP teammates.
0 6MOY teammates.
0 DPOY teammates.
0 complaints.

1 team.",3.6K,40K
Overtime,2023-09-27T19:09:08.000Z,"Giannis always been a Dame fan  (via 
@NBA
)",109,749
Legion Hoops,2023-09-27T18:47:26.000Z,"Jimmy Butler reacts to Dame being traded to the Bucks:

“The NBA, man… y’all need to look into the Bucks for tampering. You didn’t hear it from me, but I heard it from somebody.” ",1.5K,4.8K
Anthony Mayes,2023-09-27T19:28:09.000Z,NBA Twitter now that Dame has finally been traded,11,71
Hoopers Media,2023-09-27T19:21:50.000Z,"Jimmy speaks on the Dame trade:

“Yo NBA man, y’all need to look into the Bucks for tampering.” 

Is he trolling or being for real? ",3,4
NBA TV,2023-09-27T21:19:28.000Z,"It's Dame Time in MKE 

We're LIVE now on NBA TV!",89,483
Scary Alvarez,2023-09-27T20:08:08.000Z,"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",55,923
Jeremy Marks-Peltz,2023-09-27T21:44:08.000Z,"Congratulations to the Portland Trailblazers, the city of Portland, and the Portland media for winning your 2023-24 NBA championship: Not trading Dame to the #HEAT. You did it! Hang the banner!",152,1.2K
Lil B THE BASEDGOD,2023-09-27T19:56:43.000Z,Congrats to the NBA BUCKS FOR THE DAME TRADE ALL TEAMS WIN BUCKS ARE STACKED!!! GO WARRIORS ! #NBA - Lil B,21,106
FanDuel,2023-09-27T21:41:58.000Z," POST DAME TRADE NBA POWER RANKINGS 

What would you change here?",106,86
MaMgobhozi,2023-09-27T22:30:17.000Z,"Jimmy Butler weighs in on the Damian Lillard trade.

Dame | Lakers | NBA | Harden |
#HOBBES",0,1
𝐁𝐨𝐛𝐛𝐲𝐬𝐖𝐨𝐫𝐥𝐝,2023-09-27T20:03:06.000Z,Media had to go from trying to shove Giannis out of Milwaukee to having to talk about Giannis and Dame being the best duo in the NBA within 24 hours. Gotta love it ,47,616
Hassan Ahmad,2023-09-27T20:16:29.000Z,".
@Dame_Lillard
 is headed to the 
@Bucks
 

#smsports #NBA #NBATwitter #FearTheDeer",5,52
Beastbrook,2023-09-27T23:41:53.000Z,"In 2023, the NBA had 6 players averaging 30+ PPG:

Embiid (33.1) 
Luka (32.4)
Dame (32.2)
Shai (31.4)
Giannis (31.1) 
Tatum (30.1) 

In 2017, the NBA only had ONE player averaging 30+ PPG:

Russell Westbrook (31.6) 

Brodie’s MVP season changed the game forever ",7,84
shannon sharpe,2023-09-27T18:46:39.000Z,"Raise your hand IF* you called 
@Dame_Lillard
 2 Bucks? #NBA #Bucks #Blazers",379,4.3K
The Lyons Den Media Group,2023-09-27T20:02:20.000Z,"Dame Time in Milwaukee: Damian Lillard trade breakdown by Sports Editor 
@WJL1691
 

https://medium.com/the-lyons-den/breaking-superstar-damian-lillard-traded-to-the-milwaukee-bucks-b5df6a2a662b…

#NBA #Sports #MilwaukeeBucks #PortlandTrailBlazers #PhoenixSuns #NBATwitter",7,7
Topher Léon,2023-09-27T20:50:01.000Z,damian lillard to the bucks  #NBA #dame,0,4
