Username,Time,Tweet,Retweets,Likes
Stephen A Smith,2023-09-27T23:46:29.000Z,Breaking down the Dame trade,384,2.7K
Under the Buss,2023-09-27T22:05:58.000Z,"Side bar: Cam was the one who broke the Dame trade first, not Woj. Dame called Cam.",42,137
James Takesmith,2023-09-27T21:14:42.000Z,"""The Bucks are stuck""
""The Bucks have no assets""
""The Bucks can't trade for Dame""

Horst gawd:",41,396
DrewTheSh(o)(o)ter,2023-09-27T22:44:19.000Z,how Giannis reacted to the dame trade,0,8
FanDuel,2023-09-27T21:41:58.000Z," POST DAME TRADE NBA POWER RANKINGS 

What would you change here?",106,86
Thee Degen Boosts,2023-09-27T20:45:34.000Z,Immediate title favorites after the Dame trade is interesting,0,6
thao,2023-09-27T23:03:29.000Z,nori got so excited about the dame trade that she puked on my couch,0,52
Betsey,2023-09-27T21:01:47.000Z,"when evaluating the Dame trade from Portland's pov, its important to note that they value Ayton differently than many of us

I see a lot of ""Blazers got fleeced!"" tweets, but that's kind of an oversimplification....

the Blazers view Ayton as an asset & longterm building block ",6,22
RIPCITYYY,2023-09-27T23:14:45.000Z,Anfernee Simons is really the longest tenured Blazer now after the Dame trade ,2,32
Husky Lova Heavy Stevo,2023-09-27T23:21:37.000Z,This Dame trade is…. Interesting.  ,0,6
The Basement Sports,2023-09-27T21:28:43.000Z,"Pat Riley offseasons in the Jimmy Butler era:

2020: Ran it back hoping to land Giannis

2021: Added Lowry & PJ Tucker

2022: Hesitated to go all in on Donovan Mitchell

2023: Fumbled Dame’s Miami trade request

Our complacency has helped our rivals. It’s time for a dialogue.",140,750
chuba,2023-09-27T23:13:08.000Z,i got a burger and fries from five guys to celebrate the dame trade. big day,2,97
HAGRID FROM 3,2023-09-27T20:51:20.000Z,"And we got the Dame trade a day later. 

Coincidence?",9,40
Kevín,2023-09-27T22:22:19.000Z,My 17 year old son broke the Dame trade to me.  Fatherhood just keeps getting better for me.,41,1.1K
iliana isamar,2023-09-27T21:21:34.000Z,The most exciting thing about the Dame trade is never hearing about potential Dame trades anymore lol,1,5
Court,2023-09-27T23:45:42.000Z,"We discussed the massive dame trade that took place today, come give it a listen!!!",4,5
Plant Shop Eli,2023-09-27T22:03:50.000Z,"The Dame trade is your daily reminder, these jobs don’t care about you.",3,4
Kirk,2023-09-27T21:53:02.000Z,"Not to be lost in the dame trade but,,,, what exactly is a Toumani Camara ?? Asking for a friend",4,19
The Dime w/ Josh and Kwab,2023-09-27T21:49:23.000Z,"DAME TRADE REACTION!

 http://youtu.be/d09tLKrnk24",4,5
Mitchell Maurer,2023-09-27T23:27:52.000Z,"Underrated beneficiary of the Bucks/Dame trade: Bobby Portis

Portis won't start but will likely get a bunch of opportunities to run P&R with Lillard, especially in the regular season. If he can be efficient and shoot the ball well, that's a great way to generate points.",5,51
