Username,Time,Tweet,Retweets,Likes
ESPN,2023-09-27T23:27:22.000Z,"After Damian Lillard's trade to the Bucks, the Dubs' trio are now the longest active tenured players with the same team ",1.8K,17K
Legion Hoops,2023-09-27T18:20:50.000Z,"FULL TRADE DETAILS:

Bucks receive:
Damian Lillard 

Blazers receive:
Jrue Holiday
Deandre Ayton
Toumani Camara, 
2029 1st-round pick
2 pick swaps. 

Suns receive:
Jusuf Nurkic
Grayson Allen
Nassir Little 
Keon Johnson

WOW! ",9K,32K
Legion Hoops,2023-09-27T18:18:31.000Z,"BREAKING: Damian Lillard has been traded to the Bucks in a 4-team trade.

OH MY GOODNESS. ",960,10K
IKE Bucks Podcast,2023-09-27T18:45:45.000Z,Welcome to Milwaukee Dame! Bucks trade for Damian Lillard!,79,560
TheHomieJoker,2023-09-27T22:20:15.000Z,Pat Riley on the Damian Lillard Bucks trade,15,256
NBA Retweet,2023-09-27T18:22:11.000Z,"Damian Lillard trade recap, per 
@wojespn
: 

Bucks get: Damian Lillard

Suns get: Jusuf Nurkic, Grayson Allen, Nassir Little and Keon Johnson

Blazers get: Deandre Ayton, Jrue Holiday,  Toumani Camara, a 2029 unprotected MIL 1st, and unprotected MIL swap rights in 2028",139,280
Scott Grodsky,2023-09-27T21:38:13.000Z,"Bucks legend Jon McGlocklin says the Damian Lillard trade is very similar to when they added Oscar Robertson to pair with 
@kaj33
 and immediately won the NBA title. 

He says that Bucks team knew right when they made the trade ""we're it.""",114,797
BetMGM,2023-09-27T18:23:33.000Z,"“Did you just trade for Damian Lillard?”

The Bucks:",48,564
Shams Charania,2023-09-27T18:18:13.000Z,"Sources: Portland, Milwaukee and Phoenix have agreed to a three-team trade:

Bucks get: Damian Lillard
Suns: Jusuf Nurkic
Blazers: Deandre Ayton",11K,45K
Earvin Magic Johnson,2023-09-27T19:09:58.000Z,"What a blockbuster NBA trade! Damian Lillard is heading to the Milwaukee Bucks, making them the favorite in the Eastern Conference.",150,1.6K
ClutchPoints,2023-09-27T19:46:31.000Z,"“I’m a Buck for life.”

24 hours after emphasizing that he wants to remain in Milwaukee, Jrue Holiday is on his way to Portland as part of the Damian Lillard 3-team trade between the Bucks, Trail Blazers and Suns.

Jrue may have spoke to soon ",87,339
Dame Time,2023-09-27T18:26:39.000Z," OFFICIEL !!

DAMIAN LILLARD EST OFFICIELLEMENT TRADE CHEZ LES MILWAUKEE BUCKS !!!

HERE WE GO.
@ShamsCharania
.",153,509
Keg.,2023-09-27T19:41:37.000Z,I don’t think the Bucks won the Damian Lillard trade.,2,9
IKE Bucks Podcast,2023-09-27T19:27:51.000Z,"Bucks fans, how you feeling about the Damian Lillard trade?!",3,170
Dylan Powell,2023-09-27T18:36:34.000Z,Do you think the Damian Lillard trade just made the Milwaukee Bucks the best team in the NBA?,23,93
CoachClayTV,2023-09-27T20:09:52.000Z,"Yall, I may be psychic. I called this Damian Lillard trade to the Bucks 16 months ago",4,8
