Username,Time,Tweet,Retweets,Likes
ᴅ ʀ ᴇ ᴡ,2023-09-27T22:47:51.000Z,"The Milwaukee Bucks:

-Fired Coach Bud, who wasn’t good
-Traded Grayson Allen, a liability 
-Kept Khris Middleton, Brook Lopez, and Bobby Portis
-Brought in Damian Lillard

10/10 offseason by Jon Horst, that’s how you treat a superstar and franchise player in a small market",505,11K
Kobby Morant,2023-09-27T23:42:14.000Z,Damian Lillard trade explained. It’s a 3 team trade! ,10,17
,2023-09-27T22:13:17.000Z,Damian Lillard on the Bucks to the whole NBA,23,258
𝙃𝙚𝙖𝙩 𝙉𝙖𝙩𝙞𝙤𝙣,2023-09-27T23:51:25.000Z,"A better fit than Damian lillard, make it HAPPEN",77,877
The NWO Podcast®,2023-09-27T22:14:23.000Z,The only person that can display our anger over the Damian Lillard trade #HEATCulture,4,12
MikeBell929,2023-09-27T22:15:32.000Z,"Bob Rafffburn & Stinger (⁦
@GRobinsonSports
⁩) break down Damian Lillard trade... (sort of)",5,89
Slam,2023-09-27T21:50:04.000Z,"Fun fact: the Bucks now have the Trail Blazers, Nets, & Bucks’ all-time leading scorers:

- Blazers: Damian Lillard (19.4K)
- Nets: Brook Lopez (10.4K)
- Bucks: Giannis (16.3K)",275,3.1K
³⁴,2023-09-27T21:32:39.000Z,Giannis had a high praise as always for Damian lillard ,2,56
³⁴,2023-09-27T21:34:51.000Z,"Damian lillard is a Milwaukee Buck!!

We’re gonna have some fun
#FearTheDeer",3,57
ClutchPoints,2023-09-27T23:54:36.000Z,"""It's a perfect situation for Damian Lillard... Philly is in a world of trouble... keep your eyes open for Joel Embiid. He might demand to be traded after this.

Stephen A. Smith reacts to Dame being traded to the Milwaukee Bucks ",97,580
OnlyMacc,2023-09-27T21:34:24.000Z,"Here's my reaction with 
@GhostlyAmethyst
  to the News about Damian Lillard being traded to the Milwaukee Bucks ",38,113
Two-piece Advocate,2023-09-27T21:06:01.000Z,"I feel sorry for Damian Lillard. After running from the grind all these years, now he has to start a season with real championship expectations and superstar stakes",7,66
NBA 2K24 Community,2023-09-27T22:20:17.000Z,"First Look at Damian Lillard in Milwaukee 
#NBA2K24",19,283
Nathan,2023-09-27T21:15:39.000Z,Damian Lillard should throw out the 1st pitch of the playoffs for the Brewers I mean Giannis is a part owner so he can make this happen,37,556
NBA Muse,2023-09-27T22:30:07.000Z,Damian Lillard thinks he’s dropping heat right now,1,21
Emmanuel O.C,2023-09-27T22:07:06.000Z,Damian Lillard to the Milwaukee Bucks ,18,128
NBA Muse,2023-09-27T22:53:19.000Z,Who’s got that Damian Lillard or Giannis Antetokounmpo video?,3,39
TheHomieJoker,2023-09-27T22:20:15.000Z,Pat Riley on the Damian Lillard Bucks trade,15,255
Lions (8-2),2023-09-27T21:39:39.000Z,the heat really missed out on bradley beal and damian lillard ,3,14
Modern IRC,2023-09-27T21:27:13.000Z,Depiction of Damian Lillard at The King and I downtown,2,19
Speak,2023-09-27T20:59:20.000Z,".
@JoyTaylorTalks
 gives her reaction to Damian Lillard being traded to the Bucks.",27,116
ESPN,2023-09-27T23:27:22.000Z,"After Damian Lillard's trade to the Bucks, the Dubs' trio are now the longest active tenured players with the same team ",1.8K,17K
Scott Grodsky,2023-09-27T21:38:13.000Z,"Bucks legend Jon McGlocklin says the Damian Lillard trade is very similar to when they added Oscar Robertson to pair with 
@kaj33
 and immediately won the NBA title. 

He says that Bucks team knew right when they made the trade ""we're it.""",114,797
altheboss,2023-09-27T22:08:58.000Z,"Damian Lillard is finally leaving Portland.
 #DAMEDOLLA",2,12
