Username,Time,Tweet,Retweets,Likes
JalenGreen⁴ (7-6 & 9-8),2023-09-27T19:29:33.000Z,Suns with Defense,0,8
"Richard Staple, BSN, RN",2023-09-27T18:24:14.000Z,"Bucks’ backcourt defense took a hit….

But Lillard/Middelton/Pat/Giannis/Lopez is……uh……kinda nice.

Just a lil.",13,173
Harp,2023-09-27T20:33:36.000Z,"The 2 Man Game | Dame & Giannis

The bucks become so dangerous in the 2 man game. 

With Lillard being such a threat to score out of DHO & BS the defense is going to have to pick & choose.

Giannis passing ability out of short roll  will open up the floor for open shooters",1,26
Genghistan,2023-09-27T19:12:17.000Z,Is Lillard really a better fit than Jrue Holiday? Feels like the Bucks are  sacrificing a lot on defense for Lillard,0,0
North Star in the Dark Night Sky,2023-09-27T19:37:14.000Z,"@Dame_Lillard
 why they saying bucks lost defense?",0,0
Daniel Lopez,2023-09-27T20:04:52.000Z,Portland received alot of good pieces for Lillard. Bucks essentially gave up defense for offense at the Guard position.,0,0
,2023-09-27T19:05:30.000Z,This is true. We are still favorite in my opinion. Bucks got Lillard but lost their defense. Jrue was top 5 best guard defender Lillard can’t play D,5,36
³⁴,2023-09-27T21:52:51.000Z,Has a nurkic anchored defense ,0,13
Tomek Kordylewski,2023-09-27T18:30:24.000Z,"I do not like the fact that the Celtics will see Dame more now than before, but the Bucks still don't have anyone to guard the Jays, and Jrue felt like their actual x-factor. 

Lillard is gonna make them more dangerous offensively, but their defense is going to take a hit.",29,589
Jim Park,2023-09-27T18:21:46.000Z,Did the Bucks get better by swapping Holiday for Lillard? Tough one. The offense obviously improves vastly but defense falls off the map at PG.,14,129
Mark Michalski,2023-09-27T20:02:39.000Z,Damian Lillard a Milwaukee Buck.  I will miss Holiday's defense though.  He did wonderful things for the Milwaukee community and played a huge part in the Milwaukee Bucks winning the NBA Championship!  #FearTheDeer,0,1
memphis,2023-09-27T19:44:39.000Z,"lol, lmaoo people only think dame good for bucks because he can score.. jrue can score and play crazy.. defense  jrue slept on.. which i feel like jrue will be better for the bucks than damian lillard is",0,1
Dave,2023-09-27T19:17:06.000Z,This is huge! A contender need to grab him asap. Also i really hope Lillard realizes he has to play defense on the Bucks…. They do actually play defense nd this will hurt the bucks not having Jrue on top.,0,0
Travis Deans,2023-09-27T20:34:28.000Z,Man what a wild saga. Great job on Bucks to land Lillard. Perimeter defense is gonna be a struggle though. Might not matter though…Not sure Portland has any idea what they’re doing. They just really wanted Ayton for some reason I guess.,0,1
Victor Godoy,2023-09-27T20:26:38.000Z,Better question is who gonna play defense,0,3
Fastball,2023-09-27T19:02:59.000Z,"Damian Lillard to the bucks, an offensive powerhouse. Do you think they will miss Jrues defense and bind with this team more than they know? 
#nba #DamianLillard",0,0
Ray Smith,2023-09-27T19:34:58.000Z,Y’all know damn well if holiday goes to Miami it’ll be the same ass whooping as before. He gonna play defense out there?,0,2
Grzegorz,2023-09-27T19:55:59.000Z,"This team looks fantastic. The #Bucks' defense will still be excellent despite losing Jrue, and the addition of #Lillard will make the offense much better. The Bucks are extremely well-balanced.
The duo of Giannis and #Dame is something that will be unstoppable ",0,0
Adrian V ✭,2023-09-27T18:33:39.000Z,Bucks just lost there best defender in Jrue Holiday. Damian Lillard a great player but doesn’t bring that defensive presence like Holiday. I see the Bucks defense downgraded a little bit,0,1
Andy,2023-09-27T18:54:44.000Z,"Wow, that’s a move alright…

Bucks lose Jrue in the process, so their defense will take a hit. But Lillard’s offense and shooting will be a huge boost for the Bucks, so maybe it’s a net positive?

This season can’t get here quick enough. https://twitter.com/BleacherReport/status/1707097530125758870…",0,0
Nfl world of highlights,2023-09-27T22:07:05.000Z,"No way! Bucks already got great defense and Lillard has been an elite player for years, he'll need to adapt to a new system where he's not the best player on the team but I think it's a huge improvement and he'll adapt. Imo they'll do great if nothing goes wrong (injuries).",0,0
Trevor Newcomb,2023-09-27T19:38:11.000Z,"Long overdue. Literally! Thanks for the highlights 
@Dame_Lillard
 bucks perimeter defense just took a HUGE hit. Welcome to Portland 
@Jrue_Holiday11
 ",0,1
Ravvenom,2023-09-27T19:56:26.000Z, better add some defense to that.,0,0
Draft Another Quarterback,2023-09-27T18:28:19.000Z,Bucks are losing a lot of shooters and defense for Lillard... ,0,0
Nate Deming,2023-09-27T18:28:07.000Z,"This makes the Bucks offense pretty nice but they lost a major piece on defense in Jrue Holiday. Lillard is nowhere close to the defender that Holiday is. Not sure this will make them more of a contender in the bigger picture. 

Celtics in 7 ",0,0
Jason,2023-09-27T18:24:14.000Z,"Initial thoughts: 

1. Awesome haul for the Blazers!

2. Bucks losing Jrue’s defense is a huge gamble, but it makes sense

3. Lillard/Giannis is going to be so fun to watch

4. Dont love this for the Suns but I get it from a Cap and chemistry perspective. They are insanely deep",0,11
C.O.B.!,2023-09-27T18:41:05.000Z,At Least Lillard Has A Solid Defense Behind Him. Let’s See What The #Bucks Can Do ,0,0
Godzilla Sports,2023-09-27T19:32:39.000Z,Suns Losing Ayton guarantees they wont get out of  the west. Bucks getting Lillard makes them worst cause they lose defense. Giannis hurt when losing to Heat was cool. They have been to 3 WCF.2 Finals SMH Lillard is not a upgrade over Jrue only in fantasy. Celtics let's Go,0,0
Elite Hockey72,2023-09-27T18:36:42.000Z,obv the bucks getting lillard is a huge win for them but i mean losing jrue holiday and his defense is a big loss too and phoenix gave up ayton but still got back a shit ton so win-win-win of a trade for all teams,0,0
Unhinged,2023-09-27T18:28:58.000Z,"Bucks playoff defense will be very interesting with Lillard. They have no real guard stoppers right now, but ig in the east it won’t matter.",0,0
Tony Koch,2023-09-27T18:43:00.000Z,Does this make MIL better? I’m honestly not sure. Holliday was a great fit and is the best on ball defender in the league. Lillard plays limited defense. And Grayson Allen was a key guy on that Bucks team too. #WojBomb,1,2
Charles,2023-09-27T19:01:07.000Z,Dame plays no defense learn the nba game ,0,0
j,2023-09-27T20:25:55.000Z,but other than that the bucks perimeter defense gonna be bad tho,0,1
Ali Khan,2023-09-27T23:31:58.000Z,"That’s a Great Trade for the Bucks…

Will Lillard’s Offense be enough to overcome Jrue’s Lockdown Defense.",0,0
šahin,2023-09-27T18:51:07.000Z,"I estimate Jrue highly, more than dame cuz he plays lock down defense lillard doesn't move the needle for me defensively but het again bucks already a good defensive team",0,0
Wimmer,2023-09-27T19:02:37.000Z,I don’t like that Damian Lillard trade for the Bucks. Jrue Holiday was a great fit there and had great team chemistry. Now they add an aging star who doesn’t want to be there or play any defense.,0,0
Mike Barner,2023-09-27T18:35:30.000Z,"Wow! Lillard to the #Bucks. They lose Holiday and his stellar defense, but Lillard’s shooting is a nightmare with Giannis. Full #FantasyBasketball impact thread incoming.",1,8
Casey,2023-09-27T18:42:09.000Z,"The bucks are gonna put out a lineup of
DAMIAN LILLARD
Khris Middleton
Pat Connaughton 
GIANNIS I’m not spelling that name
Brook Lopez

The defense is not going to be a problem at all for them. Oh and this may be the best offense of all time that hasn’t come from a GSW team.",0,0
Tyler,2023-09-27T18:21:51.000Z,"If all the teams Lillard could’ve gone to, I’m ok with the Bucks honestly. Better upside on offense for them but big loss on defense. Interesting to see how this plays out but initially I’m excited to see Dame and Giannis play together",0,0
Big Dog B,2023-09-27T19:09:14.000Z,The Bucks not having to give up Middleton or Lopez for a Lillard level player is crazy. Milwaukee wom this trade hands down. They lost defense with Jrue and Allen but still a win for the Bucks.,0,0
Nathan Riley,2023-09-27T23:42:59.000Z,Can't knock bucks for trying. But I don't know if Lillard is that much of an upgrade  . Liability on defense and injury prone. As for the Blazers they're move is looking good #Blazers #bucks #dame,0,0
My Name Is My Name,2023-09-27T19:55:52.000Z,Lillard can give you a 50 piece any given night. Bucks are definitely going to miss Holiday's defense though.,0,0
Eric,2023-09-27T19:39:18.000Z,"I feel like this Bucks trade for Lillard automatically has Giannis resigning. He wanted improvement and this is an improvement. Sure Jrue plays defense better no doubt, but I think the offense Dame gives outweighs that with this team.",0,0
Doran,2023-09-27T18:23:13.000Z,"Can’t say I love Dame on the Bucks, heavily overlapping skill set with Khris and Milwaukee have lost roster flexibility with the picks lost. Lillard won’t be helping the defense much which has in my opinion been the key to Milwaukee’s success",0,0
Jerron,2023-09-27T20:04:35.000Z,That Lillard trade is about to shake up the East. The Bucks were already a dope team though and Jrue is a dawg on defense as well. If all is well can't wait you see what happens,0,3
AUNTIE ASF,2023-09-27T19:48:29.000Z,"Now lets allow room for this “post-but clarity” of the Damien Lillard trade.

The Bucks DID indeed take a hit. A HUGE hit at that on defense.

Also…are we making Crowder dependable again?",0,1
Unimpeachable Listmaker,2023-09-27T19:46:22.000Z,"This app man…

Damian Lillard just had one of the best offensive seasons a guard has ever had in NBA history.  The perimeter defensive stuff isn’t that big a deal because their back line defense is so elite.

The Bucks have to be the favorite to win the NBA title now.",0,11
Corey B,2023-09-27T19:24:43.000Z,"Updated: Personal top 8 EC Power Rankings (also don’t think these will be the seeding) and their biggest offseason addition or move/subtraction/Biggest XFactor or question mark. 

1. Bucks: Lillard/Jrue/Does Dames offense fully replace Jrue’s defense and offensive versatility?…",1,0
The_soul_of_the_trenches,2023-09-27T19:23:40.000Z,"@Jrue_Holiday11
 @Bucks
 go regret trading u 
@Dame_Lillard
 not doing this remember he choke n left 
@CJMcCollum
 hanging in the Western Conference against golden state  just saying  Gave up offense and defense just for offense  ",0,0
Quinton Klabon,2023-09-27T19:06:50.000Z,"I prefer a 33-year-old plays immaculate defense to a 33-year-old who cannot play defense, especially when the person cleaning up the latter's messes is 35.

JRUE HOLIDAY FOREVER.

https://twitter.com/GiannisLamar_/status/1609584622651998208…

(At least the Bucks got a brilliant player and family man in Dame Lillard.)",0,1
JSM,2023-09-27T18:25:12.000Z,"Bucks better hope that Brook remains elite as a rim protector and that both he/Giannis stay healthy for their last line of defense.

Really don’t like that they had to give up both Jrue and an unprotected 1st rd pick for Lillard. Will be interesting to watch how they navigate it",0,3
TJ,2023-09-27T19:55:22.000Z,It isn't even debatable. People love being contrarians. We saw the Bucks get eliminated in the first round while Jimmy Butler put Jrue to pasture while he stunk up the joint offensively and people want to say losing Jrue's defense trumps gaining Dame Lillard???,1,3
JNav,2023-09-27T18:31:11.000Z,"Giannis and Lillard fit is exceptional. Defense takes a hit without Jrue Holiday but regardless, that’s a great move for the Bucks.",0,2
Child of God,2023-09-27T19:35:15.000Z,Jrue was always playing defense. Who will play defense now ?,0,0
BK_Born_N_Raised,2023-09-27T21:46:34.000Z,"Holiday helped the Bucks win because of his defense. 

Lillard is better offensively and worst defensively.",0,1
Mrloon414,2023-09-27T20:22:13.000Z,"But why? 
We lost a lot of defense players for #DameTime. I understand Damian Lillard a big plus, but defense wins 's. 
Let's pray that this trade comes as a positive for the #Bucks.

#FearTheDeer",0,0
Aiden Fuller,2023-09-27T20:44:42.000Z,"Bucks might of gotten better offensively, but with Middleton regressing physically and defensively and lack of defense lillard brings they have gotten considerably worse defensively. Plus they also have questionable depth. I like Boston come playoff time!",0,0
Kellen Edwards,2023-09-27T19:40:43.000Z,"Yes, you have to get back to being an no holes defense now that bucks have lillard, you will not out gun that roster",0,1
T!N,2023-09-27T20:08:48.000Z,Suns getting bodied by the Bucks like it’s 2021 again. Y’all all offense no defense. We got both,0,1
Steve Helwick,2023-09-27T18:35:48.000Z,"Concerned about two things from a Bucks’ perspective:

1. Backcourt defense — who comes close to replicating Jrue’s responsibilities?

2. Durability of Lillard compared to Holiday — Bucks thrived so much in Giannis’ absence last year with Holiday as a reliable #1 option",0,0
RC99,2023-09-27T19:55:51.000Z,What are u talking about the bucks are the same team they lose Jrue and replace with Dame how are they better. Dame doesn’t play defense,0,4
LaMarvelous8,2023-09-27T22:21:28.000Z,Milwaukee had 4 first team all nba players 3 first team on defense players and the best record in the nba last year and just added Dame dont be stupidly Bias Bucks are better,0,0
Meechlo,2023-09-27T18:47:42.000Z,"@Dame_Lillard
 aye welcome to Milwaukee bro 
@Bucks
  need you to lock-in  on defense this year  CHALLENGE ACCEPTED?",0,0
Dave Euro,2023-09-27T19:31:02.000Z,Bucks will miss Holiday’s defense. Believe that. And can Lillard stay healthy?,1,0
richierich,2023-09-27T21:58:03.000Z,Ehh the bucks really aren’t that stacked after giving up Grayson and Jrue in the trade. They lack defense now plus the heat made finals 2 of last 3 years and just last year we beat Milwaukee to get to the finals. Chances were pretty even I think. Just a big let down for Miami :/,0,1
Sean Brat,2023-09-27T23:09:12.000Z,"Getting Lillard's for Holiday, upgraded they offense but depleted defense. But bucks may traded wrong guy, I would traded Middleton and run backcourt holiday & Lillard's as Holiday can guard 2 spot. I think Holiday been better middleton impacted offense and defense esp playoff",0,0
DCNation (10-3),2023-09-27T19:56:41.000Z,MyCeltics not worried at all.. they added shooting but lost defense… I’ll take it ,0,0
Bob Francis,2023-09-27T23:07:40.000Z,"Gabby Bucks getting Lillard doesn't put them past Celtics. Jru Holliday is great at defense, which Damian isn't. What do you think ?",0,0
Joseph Palmieri,2023-09-27T18:34:23.000Z,And bucks still have no defense lol jrue was there best defender and now lillard yes but his defense is abysmal.,0,2
Harry Ballsagna,2023-09-27T19:12:11.000Z,"Lillard obviously makes them better. I would argue the Celtics offense is still way better than the Bucks offense. The Bucks have a good interior defense. The same defense the Heat and the Celtics prior exploited to hell. A trip of Tatum, Brown, and Porzingas easily clears.",0,1
Joško,2023-09-27T23:43:57.000Z,I don’t think so. Okoro/Levert on Lillard and Mobley and Allen on Giannis. This season is going go entirely rely on the offense because we know the defense will produce. That being said I do think the Bucks win in a series vs us but not in 4,0,1
The Beautiful Struggle,2023-09-27T18:46:12.000Z,"Bucks defense will suffer but their offense will be more diverse with lillard know. Know with Lillard, Giannis can play his game a lot more as it opens up the dimension he relies on heavily. This will be interesting to see. Think Bucks mos def have a shot to be in ECF imo with mo",0,1
couchgoatee,2023-09-27T20:31:37.000Z,Curious to see how Giannis holds up this season. My guess is he’ll need to play a lot more hard minutes this season. Jrue covered up a lot of holes up top and allowed Brook and Giannis to play reactive defense.,0,0
Grant Smith,2023-09-27T18:32:31.000Z,The Bucks gave up Jrue?! I don’t care if you got Lillard they actually might have gotten worse because they have no defense now.,0,0
Aaron Williams,2023-09-27T18:59:36.000Z,I guess throw Yuta in there too. I don't see Lillard being a scary matchup problem for a team that now has 3 superstars that can score and distribute with a metric fuck ton of shooting around them. The Bucks sacrificing their perimeter defense for Lillard helps us out.,0,0
De Von Baylor,2023-09-27T18:57:54.000Z,"The bucks are 5 deep bench is terrible no defense besides Giannis. I how Lillard, Middleton, Pat and Lopez going to defend",0,0
Drew Godsell,2023-09-27T18:30:31.000Z,"Let me help: jrue wanted to stay on the bucks forever, best defender in the league, all star last year 
Lillard: pouted like a child all off-season because he wanted to go to the heat, gets hurt constantly, sucks at defense, will leave in two years and so will giannis",0,0
Blake Schofield,2023-09-27T20:41:37.000Z,We will see if the Bucks can get Lillard to show more effort and compete on defense. I'm curious to see if he can improve in this area while playing for a contender.,0,1
Vicdamone,2023-09-27T20:12:49.000Z,"@Bucks
 will be nice and the only real drop off will be the defense Jrue gave. That will be missed more then the Offensive game 
@Dame_Lillard
 might bring but regardless they still can win a championship with him and 
@Giannis_An34
. Don’t sleep on 
@PORTrailBlazers
 either.",0,0
Derek Tadashiroll,2023-09-27T18:40:13.000Z,The Bucks are going to get Lillard to turn up his defense  he's going to be a great addition to this team,0,0
