Username,Time,Tweet,Retweets,Likes
https://pJohn Kelly,2023-09-27T19:20:04.000Z,"Did not see this trade coming. That is crazy offense for the Bucks. Damian Lillard traded from Blazers to surprise contender https://yardbarker.com/nba/articles/damian_lillard_traded_from_blazers_to_surprise_contender/s1_127_39313551… via 
@yardbarker",0,1
Jim Park,2023-09-27T18:21:46.000Z,Did the Bucks get better by swapping Holiday for Lillard? Tough one. The offense obviously improves vastly but defense falls off the map at PG.,14,129
KJ,2023-09-27T18:32:15.000Z,Jrue a great guy forever grateful but this is  Dame Lillard. Stotts and Dame reunion no excuses anymore for Bucks halfcourt offense. Bucks are on a two year window. Speechless. Excited!,0,8
Daniel Lopez,2023-09-27T20:04:52.000Z,Portland received alot of good pieces for Lillard. Bucks essentially gave up defense for offense at the Guard position.,0,0
Justin W.,2023-09-27T21:16:37.000Z,"Damian Lillard to help the Bucks crunch time half court offense is soooo much better than anything anyone could have materially hoped for for Milwaukee. 

The difference between Jrue and Damian Lillard offensively is Grand Canyon sized and that's being kind.",3,47
Ali Khan,2023-09-27T23:31:58.000Z,"That’s a Great Trade for the Bucks…

Will Lillard’s Offense be enough to overcome Jrue’s Lockdown Defense.",0,0
Grzegorz,2023-09-27T19:55:59.000Z,"This team looks fantastic. The #Bucks' defense will still be excellent despite losing Jrue, and the addition of #Lillard will make the offense much better. The Bucks are extremely well-balanced.
The duo of Giannis and #Dame is something that will be unstoppable ",0,0
Andy,2023-09-27T18:54:44.000Z,"Wow, that’s a move alright…

Bucks lose Jrue in the process, so their defense will take a hit. But Lillard’s offense and shooting will be a huge boost for the Bucks, so maybe it’s a net positive?

This season can’t get here quick enough. https://twitter.com/BleacherReport/status/1707097530125758870…",0,0
Corey B,2023-09-27T19:24:43.000Z,"Updated: Personal top 8 EC Power Rankings (also don’t think these will be the seeding) and their biggest offseason addition or move/subtraction/Biggest XFactor or question mark. 

1. Bucks: Lillard/Jrue/Does Dames offense fully replace Jrue’s defense and offensive versatility?…",1,0
500,2023-09-27T21:16:36.000Z,"1. I don’t get what the Suns were doing here, I just don’t.

2. Damian Lillard will make the Bucks half court offense terrifying and even better but I still wonder about their wing depth and overall lack of athleticism on the roster. There’s a trade off.",10,34
Mr. Perfect,2023-09-27T19:15:13.000Z,For the ppl saying the bucks got worse. Jrue kind of sucked on offense. Lillard and Giannis will make life much easier for each other.,0,0
Greg Hrinya,2023-09-27T19:27:49.000Z,"That's an incredible trade for the Bucks. To bring Lillard's offense to a team with Giannis, Middleton, Lopez, Portis is quite a steal. Plenty of D to cover up for Dame, and his offense should put them on another level. Big day for the Bucks.",0,2
Nate Deming,2023-09-27T18:28:07.000Z,"This makes the Bucks offense pretty nice but they lost a major piece on defense in Jrue Holiday. Lillard is nowhere close to the defender that Holiday is. Not sure this will make them more of a contender in the bigger picture. 

Celtics in 7 ",0,0
The Unofficial Mayor of Swindon,2023-09-27T19:44:28.000Z,"GFY, no offense. Stop the 'Sconnie hate.",0,3
Tyler,2023-09-27T18:21:51.000Z,"If all the teams Lillard could’ve gone to, I’m ok with the Bucks honestly. Better upside on offense for them but big loss on defense. Interesting to see how this plays out but initially I’m excited to see Dame and Giannis play together",0,0
Casey,2023-09-27T18:42:09.000Z,"The bucks are gonna put out a lineup of
DAMIAN LILLARD
Khris Middleton
Pat Connaughton 
GIANNIS I’m not spelling that name
Brook Lopez

The defense is not going to be a problem at all for them. Oh and this may be the best offense of all time that hasn’t come from a GSW team.",0,0
Siddharth,2023-09-27T18:57:10.000Z,"Milwaukee Bucks half court offense got no excuses now. Absolute home-run of a deal for them, to turn Jrue on an expiring into freakin' 4 years of Dame Lillard coming off his career-best season. And they only had to include 1 unprotected 1st & 2 unprotected pick-swaps",0,1
Eric,2023-09-27T19:39:18.000Z,"I feel like this Bucks trade for Lillard automatically has Giannis resigning. He wanted improvement and this is an improvement. Sure Jrue plays defense better no doubt, but I think the offense Dame gives outweighs that with this team.",0,0
268 Sports,2023-09-27T18:32:23.000Z,"Damian Lillard last year:
32.2/4.8/7.3
4.2 made 3s per game on 37.1%.
8.3 Offensive BPM, 2nd in the NBA.

Lillard made the most pull-up 3s in the league last year. Offers huge potential for an offense that’s been stagnant at the end of games for years. The Bucks go all-in at…",0,0
THE SIXTH MAN,2023-09-27T18:46:26.000Z,"Damian lillard to the bucks

Now Giannis has a legit superstar by his side who can also give you 30 a night

But more importantly he fixing the bucks offense issue down the stretch and in the half court because he’s one of the best shooters and scorers ever at point guard",0,0
The_soul_of_the_trenches,2023-09-27T19:23:40.000Z,"@Jrue_Holiday11
 @Bucks
 go regret trading u 
@Dame_Lillard
 not doing this remember he choke n left 
@CJMcCollum
 hanging in the Western Conference against golden state  just saying  Gave up offense and defense just for offense  ",0,0
The Beautiful Struggle,2023-09-27T18:46:12.000Z,"Bucks defense will suffer but their offense will be more diverse with lillard know. Know with Lillard, Giannis can play his game a lot more as it opens up the dimension he relies on heavily. This will be interesting to see. Think Bucks mos def have a shot to be in ECF imo with mo",0,1
Around the Horn,2023-09-27T21:15:00.000Z,"""As good a defender as Holiday is, when you can turn that into Lillard's offense and give them the 3-point shooting they need on nights when Middleton isn't delivering... They have everything they need.""
@TimCowlishaw
 on Damian Lillard to the Bucks",3,24
KingofDeath,2023-09-27T18:29:28.000Z,"I don't know how to feel about Milwaukee acquiring Damian Lillard. A part of me loves the offense. However, defensively, I'm apprehensive (especially considering that the Bucks had to give up Jrue, who wanted to finish his career with the Bucks).",0,0
William Foster Bitcoin Era,2023-09-27T23:32:14.000Z,"I still wish 
@Bucks
 kept coach Buds.  New head coach Griffin never really was an offense minded player.  More of a hustle guy. The top assistant is Terry Stotts from portland /Dame Lillard coach most of his career. Stotts will probably run our offense. To me Stotts head coaching",0,0
T!N,2023-09-27T20:08:48.000Z,Suns getting bodied by the Bucks like it’s 2021 again. Y’all all offense no defense. We got both,0,1
Shane Young,2023-09-27T18:51:58.000Z,"Damian Lillard is the NBA's all-time leader in 3's made and attempted from 30+ feet.

That's going to be monumental for the Bucks' offense, which I expect to creep back into the Top 5 in halfcourt efficiency.",2,13
Nikolina Lepht,2023-09-27T20:38:57.000Z,"Bucks are still good defensively. Their offense was the issue. Lillard provides some much needed creating, shot making and floor spacing.",0,1
