Username,Time,Tweet,Retweets,Likes
Donovxn,2023-09-27T18:30:54.000Z,Lillard and Giannis is a nightmare for any defense,2,20
thefifthelemet,2023-09-27T18:22:50.000Z,NBA defense when they see Giannis and Damian Lillard on that pick and roll,4,7
Harp,2023-09-27T20:33:36.000Z,"The 2 Man Game | Dame & Giannis

The bucks become so dangerous in the 2 man game. 

With Lillard being such a threat to score out of DHO & BS the defense is going to have to pick & choose.

Giannis passing ability out of short roll  will open up the floor for open shooters",1,26
"Richard Staple, BSN, RN",2023-09-27T18:24:14.000Z,"Bucks’ backcourt defense took a hit….

But Lillard/Middelton/Pat/Giannis/Lopez is……uh……kinda nice.

Just a lil.",13,173
Luka,2023-09-27T20:51:36.000Z,"Wie herausragend ist der Fit von Dame bei den Bucks? Dame-Giannis-PnR wird, mit dem Spacing drum herum, böse sein. Gibt es ein besseres Duo als Lopez & Giannis, um die Schwächen von Lillard in der Defense zu kaschieren? Ich bin sehr gespannt auf die neuen Bucks.",1,66
BroMo Gh,2023-09-27T19:34:49.000Z,"GIANNIS
LILLARD
MIDDLETON
LOPEZ
PORTIS

We need some dawgssssss for the defense though 

Other than that, we solid!",4,4
³⁴,2023-09-27T21:52:51.000Z,Has a nurkic anchored defense ,0,13
Stringer Bell,2023-09-27T18:44:04.000Z,Now Lillard can focus on scoring all he wants. Giannis will play defense. It’s perfect!,1,1
Godzilla Sports,2023-09-27T19:32:39.000Z,Suns Losing Ayton guarantees they wont get out of  the west. Bucks getting Lillard makes them worst cause they lose defense. Giannis hurt when losing to Heat was cool. They have been to 3 WCF.2 Finals SMH Lillard is not a upgrade over Jrue only in fantasy. Celtics let's Go,0,0
RealWrestling,2023-09-27T20:49:04.000Z,No defense,0,0
JNav,2023-09-27T18:31:11.000Z,"Giannis and Lillard fit is exceptional. Defense takes a hit without Jrue Holiday but regardless, that’s a great move for the Bucks.",0,2
Jason,2023-09-27T18:24:14.000Z,"Initial thoughts: 

1. Awesome haul for the Blazers!

2. Bucks losing Jrue’s defense is a huge gamble, but it makes sense

3. Lillard/Giannis is going to be so fun to watch

4. Dont love this for the Suns but I get it from a Cap and chemistry perspective. They are insanely deep",0,11
Grzegorz,2023-09-27T19:55:59.000Z,"This team looks fantastic. The #Bucks' defense will still be excellent despite losing Jrue, and the addition of #Lillard will make the offense much better. The Bucks are extremely well-balanced.
The duo of Giannis and #Dame is something that will be unstoppable ",0,0
Peter R.,2023-09-27T18:25:52.000Z,Giannis was scoring 30 points in his sleep while entire defense where crowded the paint. Now with Lillard and Middleton provide high efficient shootin. UNBELIEVABLE!!!,0,0
Brett Auriemma,2023-09-27T18:27:21.000Z,"Such an interesting decision!

1. Giannis and Lopez can more than cover for Lillard's defense.
2. Lillard's scoring is so needed.
3. Jrue's defense was the biggest non-Giannis reason they won the Finals. It will absolutely be missed.",0,0
Charles,2023-09-27T19:01:07.000Z,Dame plays no defense learn the nba game ,0,0
Sports Sideline Insights,2023-09-27T21:38:22.000Z,This a win-win for all teams Involved.Milwuakee gets a star point guard in Damian lillard and also it can also lead to Giannis committing to a contract Extension.Portland goes with youth movement.Then Suns gets more depth pieces and a center that can hopefully improve defense.,2,2
Dave Algonquin,2023-09-27T18:35:42.000Z,"Milwaukee: huge upgrade on offense, downgrade on defense, the Lillard/Giannis PnR is gonna be insane 
Portland: gets Ayton, rights to MIL picks when Giannis will be old, and can flip Jrue for more assets
Phoenix: just needs guys who can dribble because the roster is so top-heavy",0,1
Casey,2023-09-27T18:42:09.000Z,"The bucks are gonna put out a lineup of
DAMIAN LILLARD
Khris Middleton
Pat Connaughton 
GIANNIS I’m not spelling that name
Brook Lopez

The defense is not going to be a problem at all for them. Oh and this may be the best offense of all time that hasn’t come from a GSW team.",0,0
Eric,2023-09-27T19:39:18.000Z,"I feel like this Bucks trade for Lillard automatically has Giannis resigning. He wanted improvement and this is an improvement. Sure Jrue plays defense better no doubt, but I think the offense Dame gives outweighs that with this team.",0,0
Mike Barner,2023-09-27T18:35:30.000Z,"Wow! Lillard to the #Bucks. They lose Holiday and his stellar defense, but Lillard’s shooting is a nightmare with Giannis. Full #FantasyBasketball impact thread incoming.",1,8
Tyler,2023-09-27T18:21:51.000Z,"If all the teams Lillard could’ve gone to, I’m ok with the Bucks honestly. Better upside on offense for them but big loss on defense. Interesting to see how this plays out but initially I’m excited to see Dame and Giannis play together",0,0
D.Ball,2023-09-27T18:20:11.000Z,Good luck to any defense that faces the inside-out pressure of a Giannis Antetokounmpo - Damian Lillard pairing,0,3
JSM,2023-09-27T18:25:12.000Z,"Bucks better hope that Brook remains elite as a rim protector and that both he/Giannis stay healthy for their last line of defense.

Really don’t like that they had to give up both Jrue and an unprotected 1st rd pick for Lillard. Will be interesting to watch how they navigate it",0,3
Daniel Barrington,2023-09-27T14:38:57.000Z,"Lillard, Klay, Dirk, Giannis, AD

A perfect blend of shooting, defense, and passing!",0,1
Beyond the RK,2023-09-27T19:20:11.000Z,"Giannis with snipers Lillard and Middleton and Brolo's drop defense? scary

Ayton's midrange scoring off Scoot's and Sharpe's rim-pressure is a talented offense, with defense tbd if Jrue is flipped for firsts/prospects

Suns offload Ayton for Nurkic and wings to a short rotation",0,4
Jesus is Lord,2023-09-27T21:14:17.000Z,"Damian Lillard with Giannis is not going to be as good as people think. Jrue Holiday is a dawg. Holiday no where near better than Dame Dolla but Grayson Allen gone too. Defense wins championships not threes from half court 
@Giannis_An34",0,0
De Von Baylor,2023-09-27T18:57:54.000Z,"The bucks are 5 deep bench is terrible no defense besides Giannis. I how Lillard, Middleton, Pat and Lopez going to defend",0,0
BloodRedSand,2023-09-27T22:24:02.000Z,"When you add UP the points. Defense. BOARDS, & HUSTLE Suns stole this deal!  Lillard & Giannis will be FIGHTING & DEMANDING the Rock!!!!",0,0
Le Pape,2023-09-27T19:53:25.000Z,"Oui on perd en defense mais on gagne au scoring, Jrue depuis la bague ses PO sont très faible au scoring, il aide pas assez Giannis, Lillard va trop apporté et il est clutch",0,0
Vil,2023-09-27T19:58:20.000Z,"Mira lo primero que pensé de momento fue el gardeo cuando vi la noticia; pero luego pensé ok Giannis defense , Lillard offensive. Van a cuadrar bien.",0,0
Reece Reese,2023-09-27T19:02:35.000Z,You gonna need that offense in the playoffs which Jrue didn’t provide anymore. Losing Jrue defense is rough but Gaining Lillard offense with Giannis is huge. Allen is a decent defender but they won’t miss him that much imo,0,0
Doc Bruce Lee,2023-09-27T18:32:50.000Z,"i, too, have defense questions as i'm not sure the uptick in offensive production from lillard and the forthcoming pnr combo with giannis is worth the defensive drop off by losing jrue (and to a certain extent, allen)",0,0
,2023-09-27T23:41:55.000Z,2 superstars- lillard and Giannis are peaking rn . Middleton is an all star and Lopez was all nba defense first team. That’s a superteam ,0,0
DMK,2023-09-27T20:39:37.000Z,"Rien a voir mdrrr le 5 de départ est plus que correct , ca défend super bien après effectivement Holidays faut le remplacer défensivement mais Lillard saura appuyer sa défense il sait tres bien Giannis est cheaté",0,0
Alex // TrashTalk & TBNL,2023-09-27T20:29:31.000Z,"Le fait de perdre Jrue et le fait de pouvoir protéger Lillard en défense n'ont rien à voir. Avec Giannis et Brook Lopez ""derrière"" lui, les largesses défensives de Lillard pourront être en bonne partie comblées je pense.",0,50
✪,2023-09-27T18:55:13.000Z,"honestly, I felt jrue and giannis was a better fit, you get better offensively with Lillard and a last shot closer but you lose a playmaker and especially defense which was big for them in the 2021 playoffs/finals.",0,0
apimpnamedslickback.,2023-09-27T20:50:29.000Z,"They’ll give defenses lots of headaches especially on the pic and roll action. 
You have to be scared of Lillard’s shooting, Giannis on the lob, the shooting guard on the wings when the defense collapses to stop 34, so many possibilities. 
They might be the new Kobe and Shaq",0,0
Simon,2023-09-27T21:23:42.000Z,especially when u think Lillard should hold the ball more so Giannis can set up the paint.. man will have such an easier life in the game he will play extra hard in defense. AND now they have a real closer for money time,0,0
Abe Jaroszewski,2023-09-27T21:21:17.000Z,"Lillard's impact on off. will not only to be his gravity and playmaking (which I actually think is slightly overrated). Giannis has taken a noticeable dip on def. (especially in reg season)

Getting his usage to a more realistic level will allow GA to carry the defense/switch/etc",0,0
Joško,2023-09-27T23:43:57.000Z,I don’t think so. Okoro/Levert on Lillard and Mobley and Allen on Giannis. This season is going go entirely rely on the offense because we know the defense will produce. That being said I do think the Bucks win in a series vs us but not in 4,0,1
test,2023-09-27T18:34:19.000Z,being traded to a contender to play with a generational superstar and strong supporting cast where his offensive talents are backed by an elite defense? playing with a version of giannis that'll now have by far the most spacing he's ever had around him? loyalty sounds great,0,5
Ethan Ebert,2023-09-27T19:43:50.000Z,Gotta understand having Bigs and wings who can defend are much more important than a guard. Having Giannis and Brook will be plenty if defense for the major offensive upgrade of Lillard,0,9
Todd Princl,2023-09-27T18:53:37.000Z,"It’s exactly that!! Don’t know if I like this, giving up a lot in defense, but Lillard will get some open shots and open up the game for Giannis.",0,1
couchgoatee,2023-09-27T20:31:37.000Z,Curious to see how Giannis holds up this season. My guess is he’ll need to play a lot more hard minutes this season. Jrue covered up a lot of holes up top and allowed Brook and Giannis to play reactive defense.,0,0
RBA,2023-09-27T20:26:39.000Z,"We'll see.

Giannis & Jrue had a great run together. I'm not going to assume they can make up w/offense what they're losing w/defense in the backcourt, esp factoring in Lillard's age.

This isn't an automatic homerun. J/S",0,1
Dre Day,2023-09-27T19:45:15.000Z,Never picking against the duo of Giannis Antentakuompo and Damian Lillard.  Still got 3-point shooting Center Brook Lopez that is a Top 8 NBA shot-blocker on defense,0,1
The Beautiful Struggle,2023-09-27T18:46:12.000Z,"Bucks defense will suffer but their offense will be more diverse with lillard know. Know with Lillard, Giannis can play his game a lot more as it opens up the dimension he relies on heavily. This will be interesting to see. Think Bucks mos def have a shot to be in ECF imo with mo",0,1
Al Goodman(CoachGoody421),2023-09-27T19:35:18.000Z,"I want offense over defense if it's a jump from jrue to dame.

Lillard never had a Giannis.",0,1
