Username,Time,Tweet,Retweets,Likes
Slam,2023-09-27T21:50:04.000Z,"Fun fact: the Bucks now have the Trail Blazers, Nets, & Bucks’ all-time leading scorers:

- Blazers: Damian Lillard (19.4K)
- Nets: Brook Lopez (10.4K)
- Bucks: Giannis (16.3K)",275,3.1K
LakeShowYo,2023-09-27T22:26:53.000Z,"“Giannis drives… kicks it out… Dame from the logo… BANG! PLUS THE FOUL! Dame Lillard now with 50 points!

…and the Bucks cut the Lakers lead to 21 with 7 minutes left to play”",2.5K,27K
Algorithm,2023-09-27T20:38:22.000Z,Damian Lillard is getting a ring with Giannis,4,23
DurantMuse,2023-09-27T20:27:33.000Z,"Kevin Durant> Giannis

Devin Booker> lillard 

Beal> Middleton 

We are not worried Suns in 4",135,1.1K
,2023-09-27T21:24:35.000Z,"Jordan Love is the future, Giannis working out with Hakeem, and oh yeah… DAMIAN LILLARD IS NOW A MILWAUKEE BUCK",77,1K
IKE Bucks Podcast,2023-09-27T21:54:30.000Z,"1. Giannis Antetokounmpo
2. Damian Lillard 
3. Khris Middleton 

The best BIG 3 in Basketball",33,301
rumpel,2023-09-27T21:06:29.000Z,"Giannis, Dame Lillard, Middleton against KD, Booker, Bradley Beal",12,17
Jamal Cristopher,2023-09-27T22:32:44.000Z,If you say you not moved by a lillard and Giannis tandem u either a liar or a hater or both,27,185
Martim,2023-09-27T23:11:56.000Z,"These two guys now play together.

Pick & Roll sets are going to be very, very fun...

#NBATwitter #Lillard #Giannis #Bucks",9,17
,2023-09-27T20:45:54.000Z,"Damian Lillard on my ball team
Ring szn otw 
Giannis a T20 player of all time after this season
Dame ring #1

LIFE IS GOOD",2,29
Nathan,2023-09-27T21:15:39.000Z,Damian Lillard should throw out the 1st pitch of the playoffs for the Brewers I mean Giannis is a part owner so he can make this happen,37,555
NBA Muse,2023-09-27T22:53:19.000Z,Who’s got that Damian Lillard or Giannis Antetokounmpo video?,2,39
TTYME2K,2023-09-27T23:02:14.000Z,This guy…,2,57
EZIOKWU,2023-09-27T20:45:06.000Z,WISH I COULD FIND MY TWEET WHERE I PRAYED FOR LILLARD TO GO HELP GIANNIS CAUSE MIDDLETON IS TOO TIMID.,15,99
Corey B,2023-09-27T20:46:40.000Z,"Giannis
Tatum
Lillard
Brown
Porzingis
Middleton",0,46
OberSports,2023-09-27T22:58:06.000Z,"Between the Love era beginning for the Packers, Lillard joining Giannis for the Bucks, several new prospects on the horizon for the Brewers, and a new head coach for Badgers football, sure seems like a page is turning in Wisconsin sports and I’m so here for it. The future is NOW",17,123
Ahmed/The Ears/IG: BigBizTheGod,2023-09-27T20:58:28.000Z,No disrespect to Dame Lillard's cousin but if Portland tried to disrespect Dame by sending him to Milwaukee to be teammates with Giannis then they sure showed him.,167,1.3K
Taytalktome.,2023-09-27T20:52:42.000Z,"LILLARD FOR 3 

GIANNIS WITH THE BLOCK 

LILLARD FOR 3 

GIANNIS WITH THE BLOCK 

LILLARD … for 3 MORE ",2,7
,2023-09-27T23:56:27.000Z,"Giannis worked out with Hakeem
Damian Lillard is my PG
Bud fired
Marjon year two leap coming 
Khris had a full offseason of rest 

We coming for #2",55,746
B. Miller,2023-09-27T21:38:34.000Z,They need to make a little video of Lillard and Giannis working at Shotz Brewery and putting a glove on a bottle.,2,13
Matt Slone,2023-09-27T22:28:58.000Z,"With the acquisition of Damian Lillard and Giannis Antetokounmpo becoming extension-eligible last week, I wouldn’t be surprised if Giannis signs a huge long-term extension with Milwaukee. It seems they are looking to build and maintain a championship roster around him.",1,2
