Username,Time,Tweet,Retweets,Likes
ᴅ ʀ ᴇ ᴡ,2023-09-27T22:47:51.000Z,"The Milwaukee Bucks:

-Fired Coach Bud, who wasn’t good
-Traded Grayson Allen, a liability 
-Kept Khris Middleton, Brook Lopez, and Bobby Portis
-Brought in Damian Lillard

10/10 offseason by Jon Horst, that’s how you treat a superstar and franchise player in a small market",505,11K
,2023-09-27T21:24:35.000Z,"Jordan Love is the future, Giannis working out with Hakeem, and oh yeah… DAMIAN LILLARD IS NOW A MILWAUKEE BUCK",77,1K
³⁴,2023-09-27T20:56:45.000Z,"DAMIAN LILLARD IS A MILWAUKEE BUCK

(A THREAD)
#FearTheDeer",67,797
NBA do Povo,2023-09-27T20:04:54.000Z,O NOVO MILWAUKEE BUCKS ,566,5.2K
ClutchPoints,2023-09-27T23:54:36.000Z,"""It's a perfect situation for Damian Lillard... Philly is in a world of trouble... keep your eyes open for Joel Embiid. He might demand to be traded after this.

Stephen A. Smith reacts to Dame being traded to the Milwaukee Bucks ",97,580
Basketball Forever,2023-09-27T22:10:47.000Z,The NEW LOOK Milwaukee Bucks ,88,476
,2023-09-27T23:39:40.000Z,"Joel Embiid beats Heat round 1
beats Boston Celtics round 2
beats Milwaukee Bucks ECF
beats Phoenix Suns Finals

we are bout to see a generational playoff run, buckle up ",182,1K
Bucks ao Contrário,2023-09-27T22:16:52.000Z,"obrigado por tudo meu mano Jrue Holiday

MILWAUKEE BUCKS LEGEND.",65,412
JUJU PUNTER. Legitcalculator,2023-09-27T21:16:21.000Z,Fear Milwaukee bucks this new NBA season.,208,609
OnlyMacc,2023-09-27T21:34:24.000Z,"Here's my reaction with 
@GhostlyAmethyst
  to the News about Damian Lillard being traded to the Milwaukee Bucks ",38,113
DurantMuse,2023-09-27T20:31:54.000Z,"Who’s gonna guard booker in Milwaukee? Who’s gonna guard Beal and Durant?

The BUCKS are cooked. Damian lillard is a playoff choker too",23,272
MIAMI HEAT DEPRÊ,2023-09-27T21:36:23.000Z,"Milwaukee Bucks: Dame, Giannis, Middleton e Lopez 
Miami Heat: Poder da amizade",7,92
Brandon,2023-09-27T21:59:43.000Z,"Milwaukee Bucks General Manager after Jrue Holiday said ""I'm a Bucks for life.""   ",3,16
no context jpg,2023-09-27T20:30:22.000Z,Damian Lillard // Milwaukee Bucks,13,155
Scary Alvarez,2023-09-27T20:08:08.000Z,"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",55,924
At The Buzzer,2023-09-27T21:27:40.000Z,"No way, the NBA is going to drop the Damian Lillard to the Milwaukee Bucks news during lunch on a Wednesday",1,3
Dan 10,2023-09-27T23:26:43.000Z,"Spider-Man 2 coming up
Scott pilgrim anime
Milwaukee Bucks best team in the east
Invincible S2 on the way
LIFE IS FUCKING GOOD",3,37
Comenta Bucks,2023-09-27T21:27:04.000Z,"KNOCKED AWAY AND STOLEN BY HOLIDAY!

Jrue Holiday sempre fará parte do Milwaukee Bucks, não importa para onde o tempo o leve.

THANK YOU FOR EVERYTHING, CHAMP! 
@Jrue_Holiday11",46,177
At The Buzzer,2023-09-27T22:31:33.000Z,"https://youtu.be/PJ95SPesifY?si=lgIW9BS7WBaWUAws…

Emergency episode of the Know The Game podcast blockbuster trade

Damian Lillard to Milwaukee bucks 
Jusuf Nurkic to Phoenix Suns 
Deandre Ayton to Portland Trailblazers",3,3
Denn raham,2023-09-27T19:44:14.000Z,"Just a heads up - this will be a Portland Trail Blazers AND Milwaukee Bucks fan account this season

I warned ya ",5,171
Emmanuel O.C,2023-09-27T22:07:06.000Z,Damian Lillard to the Milwaukee Bucks ,18,128
NBA TV,2023-09-27T21:35:03.000Z,"""When we woke up this morning, the Celtics were the favorite in the East. ...When we go to bed tonight, the Milwaukee Bucks are going to be the favorite.""

Chuck on the new look Eastern Conference",77,224
𝘿𝙖𝙢𝙚_𝙏𝙞𝙢𝙚,2023-09-27T20:45:45.000Z,"Damian Lillard- Milwaukee Bucks PG:

Damn…",1,18
D€€Z¥ ⓧ,2023-09-27T20:37:42.000Z,GRAYSON ALLEN IS A HIGH LEVEL WHAT?????  Y'ALL DO NOT WATCH THE MILWAUKEE BUCKS. BUT NOW U GOT TO. BOX OFFICE ,21,239
𝓘 𝓪𝓶,2023-09-27T22:36:53.000Z,Damian Lillard to the Milwaukee Buckslets go,2,5
NBA 2K24 Community,2023-09-27T20:13:40.000Z,"Dame Lillard coming to Milwaukee Bucks
#NBA2K24",3,46
,2023-09-27T21:42:04.000Z,"Me and the entire NBA world was studded today with Damian Lillard being traded to the Milwaukee bucks Now let me give you my initial reaction to this trade…

Link In The Replies",3,3
fre$hX,2023-09-27T21:38:50.000Z,BREAKING: Superstar Damian Lillard Traded to the Milwaukee Bucks,4,3
sydney fink,2023-09-27T20:32:46.000Z,"in celebration of damian lillard coming to milwaukee, i’m seeking to be friends with more mutuals !! so give me a follow if you are a milwaukee bucks fan and i’ll give you a follow back :)",8,359
TRADE KLAY THOMPSON,2023-09-27T22:27:12.000Z,"The Warriors present the biggest threat to the Milwaukee Bucks due to their lack of perimeter defense. Unlike other teams, like the Lakers, we do not rely on Biggs for our offense.",5,26
At The Buzzer,2023-09-27T20:38:15.000Z,Damian Lillard was traded to the Milwaukee bucks,1,3
NBAĆentel,2023-09-27T21:37:00.000Z,The Milwaukee Bucks will retire Jrue Holiday’s jersey.,3,45
JWills,2023-09-27T22:38:05.000Z,"Bucks owner Wes Edens owns the Milwaukee Journal Sentinal. Yesterday they published a story with a quote from Jrue Holiday backtracking his retirement talk and saying he won’t retire after his current contract. This was great for his value.

Today they traded him.",24,706
BlazinBuck.bsky.social,2023-09-27T20:12:55.000Z,How am I supposed to keep working today knowing these guys are reunited as Milwaukee Bucks?,6,68
ClutchPoints,2023-09-27T23:05:28.000Z,"Damian Lillard's agent Aaron Goodwin privately told the Milwaukee Bucks and Brooklyn Nets that his client did show interest in playing for either of those teams after trade talks with the Miami Heat went nowhere, per 
@MarcJSpears
.",20,181
NBA TV,2023-09-27T21:18:18.000Z,"""From the Bucks standpoint, it was a difficult task to include Jrue Holiday...they felt like Damian Lillard embodied what the Milwaukee Bucks organization is all about.""
@ChrisBHaynes
 with the latest on the blockbuster Damian Lillard trade live NOW on NBA TV",68,177
Hubie Talks Hoops,2023-09-27T21:40:42.000Z,"Now if you are the Milwaukee Bucks, let’s face it, you traded the best defensive point guard in the ligg for perhaps the weakest defensive point guard in the ligg, never mind the fact that Lillard doesn’t exactly win any perfect attendance awards.",6,46
BEAM,2023-09-27T23:40:19.000Z,"today is a exciting day,

i dropped a new EP 

fall is starting,
Milwaukee Bucks got DAME, 

just a nice vibe. happy for my city milwaukee, gotta take a trip back and catch a game",5,16
Tyler Fountain ™,2023-09-27T19:58:08.000Z,"Breaking: The Portland TrailBlazers are trading Damian Lilllard to the Milwaukee Bucks.
The NBA stir the pot every year! And best believe I’m bout to dive into that. 
#HearMeOutFount",3,9
jose☆,2023-09-27T22:07:58.000Z,Milwaukee Bucks have one bad season then get Damian Lillard like wtf,9,86
Wisconsin Clothing Company,2023-09-27T20:46:39.000Z,RT this tweet if you can't wait for the Milwaukee Bucks to be the 2024 NBA Champions ,7,12
Matty O,2023-09-27T20:31:40.000Z,"Rest of the NBA: How in the Hell did the Milwaukee Bucks manage to trade for Damian Lillard a Snickers and a bag of chips Investigate them for Tampering!!

 Jon Horst:",0,7
Steve Czaban,2023-09-27T20:13:30.000Z,"I feel like the Bucks just pulled a Mr. Chao on the Heat. Sure, they locked Milwaukee in the trunk in the playoffs last spring, but now the Bucks just stole Dame out of their laps. #YouWantToFckOnMe?",11,101
Bettor Sports Network,2023-09-27T23:30:12.000Z,"Damian Lillard has been traded to the Milwaukee Bucks, not the Miami Heat.....and Jimmy Butler is calling foul and saying the NBA needs to investigate for tampering.
@SportsLawLust
 says lets take a step back and let the facts come out.

 https://ow.ly/nRNi50PQqQg",1,2
AEW Superfan,2023-09-27T21:42:35.000Z,"Wow, Damian Lillard got traded to the Milwaukee Bucks. I’m just now seeing this.  

Oh well, hopefully the Knicks can get Joel Embiid! 

#Knicks #Bucks #NBA",2,12
karol,2023-09-27T21:37:44.000Z,"BREAKING: Los Angeles Lakers are trading 
@kabhhz
 to the Milwaukee Bucks, sources tell ESPN.",4,150
JackedRamsays,2023-09-27T23:44:24.000Z,"Damian Lillard has been traded to the Milwaukee Bucks

Tonight @ 6:30 PM 
@DannyMarang
 & 
@BrandonSprague",5,56
ʙʀᴜᴄᴇ ʟᴇᴇ-ʀᴏʏ,2023-09-27T21:31:21.000Z,Steve Kerr is trying to figure out if CP3 will start — meanwhile the Phoenix Suns and Milwaukee Bucks just got loaded,4,6
Paul Henning,2023-09-27T22:58:01.000Z,"The Milwaukee Bucks have made unquestionably the biggest trade in franchise history since Oscar Robertson today in acquiring 7x All Star PG Damian Lillard

In just under a month, he’ll suit up 
@FiservForum
 season & home opener vs Sixers

#FearTheDeer",5,109
