,Tweet,Sentiment
0,"A better fit than Damian lillard, make it HAPPEN",0
1,Dame + Giannis is going to be INSANE to watch. Excited to see you have a legit shot to compete for a title.,2
2,"(Not accusing you of saying Dame trade to MIA was a matter of ""when"")",1
3,Lillard & Giannis = ,1
4,"Let’s gooooo way better than to the heat, honorary bucks fan this season",2
5,Damian Lillard traded to Bucks https://12ozsports.com/damian-lillard-traded-bucks/… #NBA #Milwaukeebucks,1
6,"The Bucks are now the favorite to win the NBA title, per 
@BetMGM
.",2
7,"Rest of the NBA: How in the Hell did the Milwaukee Bucks manage to trade for Damian Lillard a Snickers and a bag of chips Investigate them for Tampering!!

 Jon Horst:",2
8,"My favorite moments of Damian Lillard’s 11 amazing years in Portland, thank you Dame for everything you did for the city of Portland  and for the fans 
@Dame_Lillard",1
9,"""Damian Lillard's: Game-Changing Trade: Milwaukee Bucks: NBA Trades:""** ... https://youtu.be/r1CI80dPlIs?si=NPgPcjWzg8jONDq-… via 
@YouTube",1
10,They def do ,1
11,"How do you #Lillard trade the biggest name in the #NBA with two other teams and come out last in the trade  asking for a friend….   
@Dame_Lillard
 @NBA
 @trailblazers
 @Bucks",0
12,Getting a Damian Lillard tattoo on my butthole. The letter O  anyone who doesn’t is a casual,1
13,The fire takes give it away don’t they? Unfortunately Ti bears the burden of being my youngest cuz. Been a privilege to watch/listen to him ascend the ranks of Bucks/NBA talk over the years.,1
14,"Now if you are the Milwaukee Bucks, let’s face it, you traded the best defensive point guard in the ligg for perhaps the weakest defensive point guard in the ligg, never mind the fact that Lillard doesn’t exactly win any perfect attendance awards.",0
15,This is gonna destroy all the Dame x Giannis hype,0
16,Dame X Giannis> Curry X Durant,2
17,"We discussed the massive dame trade that took place today, come give it a listen!!!",1
18,The NEW LOOK Milwaukee Bucks ,1
19,"So sad  for me as a 
@trailblazers
 fan, but so excited  for me as a 
@Dame_Lillard
 and 
@Giannis_An34
 fan! Much love  and respect  to you DAME! Go get that ring! I’ll be rooting for you always! 
#RipCity #FearTheDeer 
#DameTime",2
20,Dame requested a trade & then wrote a Hit Em Up type song for the Blazers when they finally traded him #ThisLeague,1
21,"Are the Bucks headed to the Finals with Giannis and Dame? 
@YourManDevine
 & 
@VinceGoodwill
 discuss 

https://youtu.be/0VV1VLE4UhwAPPLE…
https://apple.co/3PUxqjT
https://spoti.fi/3EWPzag",1
22,"The Milwaukee Bucks are a two headed dragon...

The Boston Celtics are Hydra.",0
23,">picked up Achane off waivers this morning
>found out I got first pick in nba fantasy
>DAME TO MILWAUKEE
I USED TO PRAY FOR TIMES LIKE THESE",2
24,kd and book ofc,1
25,Giannis and Dame on the Bucks makes the offense better ,2
26,"The Milwaukee Bucks are championship contenders, folks. And with Giannis Antetokounmpo and Damian Lillard together, that's going to be true for YEARS. 

This is exciting. REALLY exciting. 

The Bucks, man. Whew.",2
27,Lillard when Giannis dunks the ball 40 times and has 85 points while lillard sits in the corner all game,0
28,".
@JoyTaylorTalks
 gives her reaction to Damian Lillard being traded to the Bucks.",1
29,i will stop them,1
30,"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",1
31,That first Dame to Giannis LOB gonna hit like crack in the 80s,2
32,Me mainlining “emergency pods” on this Dame-to-the-Bucks trade.,1
33,"BREAKING: Los Angeles Lakers are trading 
@kabhhz
 to the Milwaukee Bucks, sources tell ESPN.",1
34,"WOW!!!

This is such a great situation for Dame. It might even convince Giannis to stay even longer with the Bucks.

Miami and others would've had to gut their teams to get Dame and he'd have been worse off.

Now he goes to a title contender with a massive superstar.",2
35,"""I think of Kevin Garnett mostly as a Celtic. This would be the crowning achievement if Dame won a championship [with the Bucks]."" — 
@kevinwildes",2
36,As a knicks fan i would of threw up if Dame went to Miami thanks nba gods,1
37,I don’t think the Bucks won the Damian Lillard trade.,0
38,These both relatively healthy players,1
39,"The Milwaukee Bucks have made unquestionably the biggest trade in franchise history since Oscar Robertson today in acquiring 7x All Star PG Damian Lillard

In just under a month, he’ll suit up 
@FiservForum
 season & home opener vs Sixers

#FearTheDeer",1
40,"Dame lands at the Bucks, Pippen & LMA in town & just a little game of hoops in Melbourne tonight. SuperCoach locks out, make sure you get your teams in. Bring on #NBL24!!
I’ll post a stack of SuperCoach stuff today - most of it free - and some NBL reading for anyone interested.",1
41,"WE ARE LIVE ON 
@BR_NBA
 !!!
@gnavas103
 breaks down the Dame trade to the 
@Bucks
 and where the 
@MiamiHEAT
 go from here

Tune in live :",1
42,"Are you betting the 
@Bucks
 to the 2023-24 NBA title after they traded for 
@Dame_Lillard
?",1
43,The Nuggets can't be slept on despite the Dame Lillard trade. DEN still has a well-balanced team and Jamal Murray in the playoffs has been as good Dame. Giannis vs Jokic would be the difference in that series.,1
44,"75 players used at least 2 isolation possessions per game in ‘22-‘23

Dame was the 2nd most efficient at 1.13 points per possession on 5.0 IOSs per game

Jrue was 72nd out of 75 at 0.76 ppp on 3.2 per game

Massive offensive shift, especially in a playoff setting…",2
45,"Bucks legend Jon McGlocklin says the Damian Lillard trade is very similar to when they added Oscar Robertson to pair with 
@kaj33
 and immediately won the NBA title. 

He says that Bucks team knew right when they made the trade ""we're it.""",2
